booking_no,booking_date,branch_id,client_id,pickup_address,delivery_address,origin_city,dest_city,material,weight_t,quantity,packages,insurance,declared_value,freight,gst_mode,gst_pct,gst_amount,insurance_amt,total,remarks,booking_user_id,priority,status
BKG-4211,2026-08-02,BR-018,CUST-0162,"Gate 6, Morbi","Godown, Kanpur",Morbi,Kanpur,FMCG cartons,11,198,330 pkgs,Not insured,0,16600,RCM,5,830,0,17430,,USR-0052,Normal,Closed
BKG-4212,2026-09-01,BR-017,CUST-0128,"Gate 6, Gurugram","Depot, Kanpur",Gurugram,Kanpur,Polymer granules,6.4,128,115 bags,Insured,216000,7200,RCM,5,360,90,7650,Handle with care · fragile packaging,USR-0102,Normal,Draft
BKG-4213,2026-08-27,BR-012,CUST-0082,"Gate 2, Lucknow","Warehouse, Nashik",Lucknow,Nashik,Agro produce,13.9,250,278 bags,Not insured,0,20500,RCM,5,1025,0,21525,Tarpaulin required,USR-0068,Priority,Vehicle Allocated
BKG-4214,2026-07-16,BR-009,CUST-0127,"Gate 2, Kanpur","Warehouse, Mumbai",Kanpur,Mumbai,Polymer granules,17.3,519,519 bags,Not insured,0,25900,RCM,5,1295,0,27195,,USR-0055,Priority,Closed
BKG-4215,2026-09-01,BR-004,CUST-0176,"Gate 6, Pune","Warehouse, Mumbai",Pune,Mumbai,Copper wire coils,17.4,418,313 coils,Not insured,0,11200,RCM,5,560,0,11760,,USR-0138,Normal,Draft
BKG-4216,2026-08-20,BR-014,CUST-0170,"Gate 2, Hyderabad","Warehouse, Bhopal",Hyderabad,Bhopal,Copper wire coils,11.8,283,212 coils,Insured,417000,13900,RCM,5,695,170,14765,Deliver before 18:00,USR-0101,Normal,Delivered
BKG-4217,2026-08-05,BR-018,CUST-0123,"Gate 4, Morbi","Warehouse, Surat",Morbi,Surat,Textile bales,6.5,195,130 bales,Not insured,0,6600,FCM,12,792,0,7392,Handle with care · fragile packaging,USR-0086,Normal,Closed
BKG-4218,2026-08-04,BR-011,CUST-0061,"Gate 5, Bhopal","Godown, Kanpur",Bhopal,Kanpur,Construction hardware,9.6,192,288 pkgs,Not insured,0,10100,FCM,12,1212,0,11312,,USR-0075,Priority,Closed
BKG-4219,2026-07-08,BR-014,CUST-0170,"Gate 2, Hyderabad","Depot, Bengaluru",Hyderabad,Bengaluru,Cement bags — OPC 53 grade,23.3,419,466 bags,Not insured,0,21700,RCM,5,1085,0,22785,Tarpaulin required,USR-0140,Normal,Closed
BKG-4220,2026-08-16,BR-011,CUST-0134,"Gate 5, Bhopal","Depot, Nashik",Bhopal,Nashik,Agro produce,11.9,214,238 bags,Insured,375000,12500,RCM,5,625,160,13285,,USR-0060,Normal,Delivered
BKG-4221,2026-08-10,BR-015,CUST-0160,"Gate 4, Kolkata","Godown, Raipur",Kolkata,Raipur,Steel coils,30,720,600 coils,Insured,978000,32600,RCM,5,1630,410,34640,,USR-0135,Normal,Closed
BKG-4222,2026-07-29,BR-013,CUST-0172,"Gate 1, Ahmedabad","Godown, Surat",Ahmedabad,Surat,FMCG cartons,8,240,240 pkgs,Insured,213000,7100,RCM,5,355,90,7545,,USR-0099,Normal,Delivered
BKG-4223,2026-08-14,BR-011,CUST-0209,"Gate 2, Bhopal","Depot, Ahmedabad",Bhopal,Ahmedabad,Agro produce,17.1,308,308 bags,Insured,495000,16500,RCM,5,825,210,17535,,USR-0129,Normal,Closed
BKG-4224,2026-08-18,BR-011,CUST-0070,"Gate 1, Bhopal","Godown, Lucknow",Bhopal,Lucknow,Textile bales,12.5,375,250 bales,Insured,396000,13200,FCM,12,1584,160,14944,Deliver before 18:00,USR-0056,Normal,Closed
BKG-4225,2026-08-15,BR-018,CUST-0090,"Gate 5, Morbi","Godown, Kolkata",Morbi,Kolkata,Ceramic tiles,14.2,426,284 boxes,Not insured,0,29900,RCM,5,1495,0,31395,Tarpaulin required,USR-0070,Normal,Delivered
BKG-4226,2026-07-27,BR-016,CUST-0049,"Gate 3, Bengaluru","Depot, Indore",Bengaluru,Indore,TMT bars,24.9,747,598 bundles,Not insured,0,35700,RCM,5,1785,0,37485,,USR-0141,Normal,Closed
BKG-4227,2026-08-26,BR-009,CUST-0137,"Gate 5, Kanpur","Warehouse, Delhi",Kanpur,Delhi,Ceramic tiles,21,630,420 boxes,Insured,537000,17900,RCM,5,895,220,19015,Handle with care · fragile packaging,USR-0101,Normal,Vehicle Allocated
BKG-4228,2026-08-29,BR-002,CUST-0031,"Gate 1, Delhi","Depot, Hyderabad",Delhi,Hyderabad,Copper wire coils,23.9,717,574 coils,Not insured,0,37600,FCM,18,6768,0,44368,,USR-0102,Normal,Vehicle Allocated
BKG-4229,2026-07-23,BR-001,CUST-0140,"Gate 6, Nagpur","Godown, Lucknow",Nagpur,Lucknow,Ceramic tiles,20.1,603,362 boxes,Not insured,0,21800,RCM,5,1090,0,22890,,USR-0062,Normal,Closed
BKG-4230,2026-08-03,BR-010,CUST-0115,"Gate 5, Nashik","Godown, Lucknow",Nashik,Lucknow,FMCG cartons,8,192,160 pkgs,Insured,387000,12900,RCM,5,645,160,13705,Tarpaulin required,USR-0070,Normal,Closed
BKG-4231,2026-07-21,BR-017,CUST-0029,"Gate 2, Gurugram","Depot, Pune",Gurugram,Pune,Textile bales,11,264,330 bales,Not insured,0,17700,RCM,5,885,0,18585,Tarpaulin required,USR-0146,Normal,Closed
BKG-4232,2026-07-06,BR-011,CUST-0054,"Gate 2, Bhopal","Warehouse, Kolkata",Bhopal,Kolkata,Construction hardware,8.8,158,264 pkgs,Insured,432000,14400,RCM,5,720,180,15300,Tarpaulin required,USR-0081,Normal,Closed
BKG-4233,2026-08-09,BR-011,CUST-0070,"Gate 1, Bhopal","Godown, Lucknow",Bhopal,Lucknow,Cement bags — OPC 53 grade,12.4,298,372 bags,Not insured,0,13100,FCM,12,1572,0,14672,,USR-0069,Normal,Delivered
BKG-4234,2026-08-11,BR-001,CUST-0097,"Gate 4, Nagpur","Depot, Ahmedabad",Nagpur,Ahmedabad,PVC granules,4,120,96 bags,Not insured,0,6500,RCM,5,325,0,6825,Handle with care · fragile packaging,USR-0049,Normal,Delivered
BKG-4235,2026-07-29,BR-005,CUST-0177,"Gate 6, Indore","Godown, Delhi",Indore,Delhi,FMCG cartons,5,120,120 pkgs,Not insured,0,7400,FCM,12,888,0,8288,Tarpaulin required,USR-0087,Priority,Delivered
BKG-4236,2026-08-19,BR-017,CUST-0089,"Gate 6, Gurugram","Warehouse, Surat",Gurugram,Surat,Copper wire coils,26,468,520 coils,Insured,993000,33100,RCM,5,1655,410,35165,Handle with care · fragile packaging,USR-0143,Priority,Delivered
BKG-4237,2026-08-15,BR-001,CUST-0205,"Gate 3, Nagpur","Godown, Nashik",Nagpur,Nashik,Textile bales,11.4,228,228 bales,Insured,375000,12500,RCM,5,625,160,13285,,USR-0077,Normal,Closed
BKG-4238,2026-08-04,BR-010,CUST-0055,"Gate 3, Nashik","Godown, Raipur",Nashik,Raipur,Textile bales,3.5,105,63 bales,Not insured,0,6400,RCM,5,320,0,6720,Deliver before 18:00,USR-0126,Normal,Closed
BKG-4239,2026-08-16,BR-001,CUST-0140,"Gate 6, Nagpur","Warehouse, Mumbai",Nagpur,Mumbai,Cement bags — OPC 53 grade,12.7,305,254 bags,Not insured,0,15000,RCM,5,750,0,15750,,USR-0146,Normal,Closed
BKG-4240,2026-08-19,BR-005,CUST-0210,"Gate 6, Indore","Warehouse, Delhi",Indore,Delhi,Cement bags — OPC 53 grade,5.2,156,94 bags,Not insured,0,7600,RCM,5,380,0,7980,Deliver before 18:00,USR-0075,Priority,Closed
BKG-4241,2026-08-11,BR-005,CUST-0038,"Gate 3, Indore","Godown, Kanpur",Indore,Kanpur,Cement bags — OPC 53 grade,24.5,490,735 bags,Insured,753000,25100,RCM,5,1255,310,26665,,USR-0048,Priority,Delivered
BKG-4242,2026-07-18,BR-001,CUST-0105,"Gate 5, Nagpur","Depot, Mumbai",Nagpur,Mumbai,Ceramic tiles,14.2,426,426 boxes,Insured,495000,16500,RCM,5,825,210,17535,,USR-0098,Normal,Closed
BKG-4243,2026-07-13,BR-015,CUST-0024,"Gate 2, Kolkata","Warehouse, Surat",Kolkata,Surat,TMT bars,6.2,124,186 bundles,Insured,405000,13500,FCM,18,2430,170,16100,Handle with care · fragile packaging,USR-0098,Priority,Closed
BKG-4244,2026-07-24,BR-014,CUST-0050,"Gate 1, Hyderabad","Godown, Pune",Hyderabad,Pune,Agro produce,17.5,315,315 bags,Not insured,0,17000,RCM,5,850,0,17850,,USR-0121,Priority,Closed
BKG-4245,2026-08-20,BR-011,CUST-0023,"Gate 4, Bhopal","Warehouse, Surat",Bhopal,Surat,Textile bales,3.1,56,62 bales,Not insured,0,5100,RCM,5,255,0,5355,,USR-0065,Normal,In Transit
BKG-4246,2026-07-13,BR-018,CUST-0162,"Gate 6, Morbi","Warehouse, Raipur",Morbi,Raipur,Packaged goods,7.1,142,213 pkgs,Insured,363000,12100,RCM,5,605,150,12855,,USR-0079,Normal,Delivered
BKG-4247,2026-08-18,BR-018,CUST-0162,"Gate 6, Morbi","Godown, Mumbai",Morbi,Mumbai,Copper wire coils,10.4,312,312 coils,Insured,324000,10800,RCM,5,540,140,11480,Tarpaulin required,USR-0100,Normal,Closed
BKG-4248,2026-08-10,BR-002,CUST-0077,"Gate 5, Delhi","Warehouse, Pune",Delhi,Pune,Ceramic tiles,23.3,559,466 boxes,Insured,1053000,35100,RCM,5,1755,440,37295,,USR-0095,Normal,Closed
BKG-4249,2026-08-25,BR-008,CUST-0036,"Gate 5, Surat","Godown, Jaipur",Surat,Jaipur,Polymer granules,14.8,296,355 bags,Insured,519000,17300,FCM,12,2076,220,19596,Deliver before 18:00,USR-0046,Normal,Delivered
BKG-4250,2026-08-07,BR-013,CUST-0040,"Gate 6, Ahmedabad","Godown, Kolkata",Ahmedabad,Kolkata,Construction hardware,22.5,675,450 pkgs,Not insured,0,42500,FCM,18,7650,0,50150,Tarpaulin required,USR-0043,Normal,Closed
BKG-4251,2026-07-28,BR-017,CUST-0152,"Gate 3, Gurugram","Warehouse, Morbi",Gurugram,Morbi,TMT bars,15.1,302,453 bundles,Insured,597000,19900,RCM,5,995,250,21145,,USR-0126,Normal,Closed
BKG-4252,2026-08-16,BR-001,CUST-0020,"Gate 3, Nagpur","Godown, Gurugram",Nagpur,Gurugram,TMT bars,8.4,202,252 bundles,Insured,357000,11900,RCM,5,595,150,12645,,USR-0092,Normal,Closed
BKG-4253,2026-08-30,BR-006,CUST-0057,"Gate 4, Raipur","Depot, Kolkata",Raipur,Kolkata,PVC granules,17.1,513,513 bags,Insured,591000,19700,FCM,18,3546,250,23496,,USR-0098,Normal,Confirmed
BKG-4254,2026-08-13,BR-003,CUST-0182,"Gate 4, Mumbai","Godown, Indore",Mumbai,Indore,Agro produce,14,420,336 bags,Insured,426000,14200,RCM,5,710,180,15090,Deliver before 18:00,USR-0132,Normal,Delivered
BKG-4255,2026-08-30,BR-014,CUST-0050,"Gate 1, Hyderabad","Warehouse, Lucknow",Hyderabad,Lucknow,PVC granules,17.5,350,420 bags,Not insured,0,25600,RCM,5,1280,0,26880,Tarpaulin required,USR-0096,Priority,Vehicle Allocated
BKG-4256,2026-08-17,BR-005,CUST-0048,"Gate 2, Indore","Godown, Pune",Indore,Pune,Copper wire coils,7.4,133,222 coils,Insured,261000,8700,RCM,5,435,110,9245,,USR-0063,Priority,Delivered
BKG-4257,2026-08-20,BR-005,CUST-0155,"Gate 3, Indore","Warehouse, Kanpur",Indore,Kanpur,Steel coils,7.2,216,173 coils,Insured,273000,9100,RCM,5,455,110,9665,Deliver before 18:00,USR-0096,Normal,Delivered
BKG-4258,2026-08-08,BR-018,CUST-0158,"Gate 1, Morbi","Warehouse, Mumbai",Morbi,Mumbai,Construction hardware,15.4,277,308 pkgs,Not insured,0,14800,RCM,5,740,0,15540,Deliver before 18:00,USR-0121,Normal,Closed
BKG-4259,2026-07-31,BR-001,CUST-0091,"Gate 4, Nagpur","Warehouse, Delhi",Nagpur,Delhi,FMCG cartons,12.8,307,307 pkgs,Not insured,0,16900,RCM,5,845,0,17745,Deliver before 18:00,USR-0058,Normal,Closed
BKG-4260,2026-08-05,BR-009,CUST-0015,"Gate 2, Kanpur","Warehouse, Nashik",Kanpur,Nashik,FMCG cartons,3.6,72,86 pkgs,Not insured,0,6900,RCM,5,345,0,7245,Deliver before 18:00,USR-0140,Normal,Closed
BKG-4261,2026-08-19,BR-010,CUST-0055,"Gate 3, Nashik","Godown, Raipur",Nashik,Raipur,Packaged goods,13.9,278,278 pkgs,Insured,534000,17800,RCM,5,890,220,18910,Deliver before 18:00,USR-0095,Priority,Closed
BKG-4262,2026-08-30,BR-017,CUST-0089,"Gate 6, Gurugram","Depot, Pune",Gurugram,Pune,Construction hardware,23.1,693,416 pkgs,Not insured,0,34300,RCM,5,1715,0,36015,Tarpaulin required,USR-0046,Normal,Confirmed
BKG-4263,2026-07-05,BR-016,CUST-0148,"Gate 1, Bengaluru","Depot, Hyderabad",Bengaluru,Hyderabad,Textile bales,6.6,119,132 bales,Not insured,0,7900,RCM,5,395,0,8295,Tarpaulin required,USR-0123,Priority,Closed
BKG-4264,2026-09-01,BR-017,CUST-0025,"Gate 6, Gurugram","Warehouse, Delhi",Gurugram,Delhi,Textile bales,3.9,117,94 bales,Not insured,0,4200,RCM,5,210,0,4410,,USR-0132,Normal,Confirmed
BKG-4265,2026-07-04,BR-006,CUST-0057,"Gate 4, Raipur","Warehouse, Lucknow",Raipur,Lucknow,PVC granules,9.7,291,194 bags,Insured,345000,11500,FCM,18,2070,140,13710,Tarpaulin required,USR-0063,Normal,Delivered
BKG-4266,2026-08-07,BR-007,CUST-0011,"Gate 4, Jaipur","Depot, Lucknow",Jaipur,Lucknow,Textile bales,6.9,166,166 bales,Not insured,0,8300,FCM,18,1494,0,9794,,USR-0119,Normal,Delivered
BKG-4267,2026-07-30,BR-006,CUST-0084,"Gate 4, Raipur","Warehouse, Kanpur",Raipur,Kanpur,FMCG cartons,9.2,276,221 pkgs,Insured,324000,10800,RCM,5,540,140,11480,Tarpaulin required,USR-0072,Normal,Closed
BKG-4268,2026-08-30,BR-007,CUST-0174,"Gate 3, Jaipur","Warehouse, Morbi",Jaipur,Morbi,Copper wire coils,16.4,394,328 coils,Not insured,0,18500,RCM,5,925,0,19425,,USR-0127,Normal,Vehicle Allocated
BKG-4269,2026-07-30,BR-006,CUST-0114,"Gate 2, Raipur","Godown, Lucknow",Raipur,Lucknow,Packaged goods,10.1,303,242 pkgs,Insured,357000,11900,RCM,5,595,150,12645,,USR-0076,Priority,Closed
BKG-4270,2026-08-18,BR-011,CUST-0134,"Gate 5, Bhopal","Warehouse, Bengaluru",Bhopal,Bengaluru,PVC granules,18.6,446,372 bags,Not insured,0,28000,RCM,5,1400,0,29400,,USR-0054,Normal,Closed
BKG-4271,2026-07-27,BR-010,CUST-0096,"Gate 4, Nashik","Godown, Delhi",Nashik,Delhi,Cement bags — OPC 53 grade,23.7,711,569 bags,Not insured,0,32600,RCM,5,1630,0,34230,Tarpaulin required,USR-0119,Normal,Closed
BKG-4272,2026-08-12,BR-014,CUST-0214,"Gate 2, Hyderabad","Godown, Gurugram",Hyderabad,Gurugram,FMCG cartons,6.2,149,186 pkgs,Not insured,0,11500,RCM,5,575,0,12075,Handle with care · fragile packaging,USR-0138,Priority,Closed
BKG-4273,2026-07-23,BR-001,CUST-0016,"Gate 5, Nagpur","Godown, Ahmedabad",Nagpur,Ahmedabad,Agro produce,16.3,391,326 bags,Not insured,0,18800,FCM,18,3384,0,22184,,USR-0095,Normal,Closed
BKG-4274,2026-07-15,BR-008,CUST-0175,"Gate 2, Surat","Warehouse, Raipur",Surat,Raipur,Textile bales,10,200,180 bales,Insured,429000,14300,RCM,5,715,180,15195,Tarpaulin required,USR-0137,Normal,Closed
BKG-4275,2026-08-14,BR-009,CUST-0083,"Gate 2, Kanpur","Warehouse, Raipur",Kanpur,Raipur,Packaged goods,3.1,56,62 pkgs,Not insured,0,5300,RCM,5,265,0,5565,Deliver before 18:00,USR-0126,Normal,Closed
BKG-4276,2026-08-27,BR-002,CUST-0031,"Gate 1, Delhi","Warehouse, Nagpur",Delhi,Nagpur,Ceramic tiles,23.4,702,562 boxes,Not insured,0,28900,FCM,18,5202,0,34102,Deliver before 18:00,USR-0094,Normal,Vehicle Allocated
BKG-4277,2026-08-18,BR-010,CUST-0115,"Gate 5, Nashik","Depot, Bengaluru",Nashik,Bengaluru,Packaged goods,7.1,213,170 pkgs,Insured,321000,10700,RCM,5,535,130,11365,Handle with care · fragile packaging,USR-0130,Normal,Closed
BKG-4278,2026-08-03,BR-005,CUST-0032,"Gate 1, Indore","Godown, Ahmedabad",Indore,Ahmedabad,Cement bags — OPC 53 grade,11.9,238,286 bags,Not insured,0,10700,RCM,5,535,0,11235,Tarpaulin required,USR-0136,Normal,Delivered
BKG-4279,2026-08-08,BR-007,CUST-0192,"Gate 6, Jaipur","Godown, Raipur",Jaipur,Raipur,Polymer granules,12.1,242,290 bags,Not insured,0,16200,RCM,5,810,0,17010,Tarpaulin required,USR-0076,Normal,Closed
BKG-4280,2026-08-25,BR-007,CUST-0192,"Gate 6, Jaipur","Godown, Nashik",Jaipur,Nashik,Textile bales,7.5,225,150 bales,Not insured,0,10600,RCM,5,530,0,11130,Tarpaulin required,USR-0146,Normal,Cancelled
BKG-4281,2026-08-22,BR-018,CUST-0079,"Gate 4, Morbi","Godown, Delhi",Morbi,Delhi,FMCG cartons,7.9,237,142 pkgs,Not insured,0,11800,RCM,5,590,0,12390,Handle with care · fragile packaging,USR-0061,Normal,In Transit
BKG-4282,2026-07-10,BR-002,CUST-0164,"Gate 4, Delhi","Warehouse, Pune",Delhi,Pune,FMCG cartons,8.9,160,267 pkgs,Not insured,0,15000,RCM,5,750,0,15750,,USR-0129,Normal,Closed
BKG-4283,2026-08-20,BR-011,CUST-0211,"Gate 6, Bhopal","Depot, Surat",Bhopal,Surat,FMCG cartons,5.3,159,127 pkgs,Not insured,0,7000,RCM,5,350,0,7350,Handle with care · fragile packaging,USR-0045,Normal,In Transit
BKG-4284,2026-08-23,BR-010,CUST-0055,"Gate 3, Nashik","Godown, Kolkata",Nashik,Kolkata,Steel coils,9.7,291,175 coils,Not insured,0,19000,RCM,5,950,0,19950,Tarpaulin required,USR-0088,Normal,In Transit
BKG-4285,2026-07-19,BR-013,CUST-0017,"Gate 3, Ahmedabad","Depot, Morbi",Ahmedabad,Morbi,Construction hardware,23.3,466,699 pkgs,Not insured,0,15400,FCM,12,1848,0,17248,Tarpaulin required,USR-0053,Normal,Closed
BKG-4286,2026-08-15,BR-011,CUST-0023,"Gate 4, Bhopal","Godown, Mumbai",Bhopal,Mumbai,Packaged goods,15.3,306,275 pkgs,Not insured,0,17200,RCM,5,860,0,18060,Deliver before 18:00,USR-0046,Normal,Closed
BKG-4287,2026-08-15,BR-006,CUST-0109,"Gate 5, Raipur","Godown, Delhi",Raipur,Delhi,Polymer granules,11,264,198 bags,Insured,468000,15600,RCM,5,780,200,16580,Handle with care · fragile packaging,USR-0124,Normal,Closed
BKG-4288,2026-08-14,BR-003,CUST-0182,"Gate 4, Mumbai","Godown, Bengaluru",Mumbai,Bengaluru,Polymer granules,15.7,471,283 bags,Not insured,0,20100,RCM,5,1005,0,21105,,USR-0135,Normal,Delivered
BKG-4289,2026-07-23,BR-013,CUST-0166,"Gate 3, Ahmedabad","Godown, Nagpur",Ahmedabad,Nagpur,Construction hardware,7,140,126 pkgs,Insured,285000,9500,RCM,5,475,120,10095,Handle with care · fragile packaging,USR-0052,Normal,Delivered
BKG-4290,2026-08-12,BR-002,CUST-0092,"Gate 6, Delhi","Depot, Mumbai",Delhi,Mumbai,Construction hardware,10.6,191,212 pkgs,Insured,513000,17100,RCM,5,855,210,18165,Tarpaulin required,USR-0066,Normal,Closed
BKG-4291,2026-08-12,BR-003,CUST-0132,"Gate 6, Mumbai","Godown, Kanpur",Mumbai,Kanpur,FMCG cartons,14,336,280 pkgs,Insured,642000,21400,RCM,5,1070,270,22740,Deliver before 18:00,USR-0138,Normal,Closed
BKG-4292,2026-08-29,BR-005,CUST-0056,"Gate 3, Indore","Depot, Pune",Indore,Pune,Ceramic tiles,16,288,288 boxes,Insured,477000,15900,FCM,18,2862,200,18962,,USR-0049,Normal,In Transit
BKG-4293,2026-08-28,BR-016,CUST-0193,"Gate 2, Bengaluru","Depot, Mumbai",Bengaluru,Mumbai,Steel coils,20.3,406,365 coils,Insured,756000,25200,RCM,5,1260,320,26780,Deliver before 18:00,USR-0133,Normal,In Transit
BKG-4294,2026-08-22,BR-001,CUST-0091,"Gate 4, Nagpur","Depot, Hyderabad",Nagpur,Hyderabad,Steel coils,26.7,534,481 coils,Not insured,0,22800,RCM,5,1140,0,23940,,USR-0145,Normal,In Transit
BKG-4295,2026-08-17,BR-001,CUST-0143,"Gate 2, Nagpur","Depot, Hyderabad",Nagpur,Hyderabad,PVC granules,6.3,126,113 bags,Not insured,0,7300,RCM,5,365,0,7665,Handle with care · fragile packaging,USR-0131,Normal,Closed
BKG-4296,2026-08-05,BR-010,CUST-0126,"Gate 2, Nashik","Depot, Delhi",Nashik,Delhi,Copper wire coils,18.2,328,437 coils,Insured,768000,25600,RCM,5,1280,320,27200,Deliver before 18:00,USR-0088,Normal,Closed
BKG-4297,2026-08-15,BR-010,CUST-0096,"Gate 4, Nashik","Warehouse, Bengaluru",Nashik,Bengaluru,Ceramic tiles,25.6,768,768 boxes,Not insured,0,31900,RCM,5,1595,0,33495,Handle with care · fragile packaging,USR-0126,Normal,Delivered
BKG-4298,2026-08-12,BR-005,CUST-0155,"Gate 3, Indore","Warehouse, Kanpur",Indore,Kanpur,TMT bars,22.3,535,669 bundles,Insured,690000,23000,RCM,5,1150,290,24440,Handle with care · fragile packaging,USR-0058,Normal,Closed
BKG-4299,2026-08-29,BR-003,CUST-0124,"Gate 3, Mumbai","Godown, Gurugram",Mumbai,Gurugram,Steel coils,15.2,456,274 coils,Not insured,0,23100,RCM,5,1155,0,24255,,USR-0076,Normal,In Transit
BKG-4300,2026-07-20,BR-005,CUST-0072,"Gate 3, Indore","Warehouse, Kanpur",Indore,Kanpur,Steel coils,30,720,540 coils,Not insured,0,30100,RCM,5,1505,0,31605,Deliver before 18:00,USR-0062,Normal,Delivered
BKG-4301,2026-07-22,BR-011,CUST-0070,"Gate 1, Bhopal","Depot, Kanpur",Bhopal,Kanpur,Agro produce,3.2,77,64 bags,Not insured,0,5000,FCM,12,600,0,5600,Handle with care · fragile packaging,USR-0044,Normal,Cancelled
BKG-4302,2026-08-16,BR-009,CUST-0065,"Gate 4, Kanpur","Warehouse, Bhopal",Kanpur,Bhopal,Packaged goods,3.1,74,93 pkgs,Not insured,0,5000,RCM,5,250,0,5250,Tarpaulin required,USR-0136,Normal,Closed
BKG-4303,2026-08-06,BR-012,CUST-0191,"Gate 6, Lucknow","Depot, Bhopal",Lucknow,Bhopal,Copper wire coils,9.4,282,226 coils,Insured,315000,10500,RCM,5,525,130,11155,Handle with care · fragile packaging,USR-0118,Priority,Closed
BKG-4304,2026-07-14,BR-005,CUST-0033,"Gate 1, Indore","Warehouse, Raipur",Indore,Raipur,Steel coils,5.9,118,177 coils,Insured,240000,8000,RCM,5,400,100,8500,Tarpaulin required,USR-0133,Normal,Cancelled
BKG-4305,2026-08-17,BR-011,CUST-0023,"Gate 4, Bhopal","Godown, Lucknow",Bhopal,Lucknow,Packaged goods,7.2,216,130 pkgs,Insured,261000,8700,RCM,5,435,110,9245,,USR-0148,Priority,Closed
BKG-4306,2026-08-16,BR-009,CUST-0065,"Gate 4, Kanpur","Godown, Surat",Kanpur,Surat,Ceramic tiles,27.3,491,819 boxes,Insured,1071000,35700,RCM,5,1785,450,37935,Handle with care · fragile packaging,USR-0083,Normal,Delivered
BKG-4307,2026-08-31,BR-005,CUST-0210,"Gate 6, Indore","Godown, Surat",Indore,Surat,Textile bales,7.9,190,190 bales,Insured,243000,8100,RCM,5,405,100,8605,,USR-0147,Normal,Vehicle Allocated
BKG-4308,2026-07-20,BR-001,CUST-0205,"Gate 3, Nagpur","Godown, Pune",Nagpur,Pune,Construction hardware,9.6,230,230 pkgs,Insured,342000,11400,RCM,5,570,140,12110,Deliver before 18:00,USR-0065,Normal,Closed
BKG-4309,2026-08-24,BR-006,CUST-0018,"Gate 1, Raipur","Godown, Indore",Raipur,Indore,Polymer granules,6.8,204,204 bags,Insured,264000,8800,RCM,5,440,110,9350,Tarpaulin required,USR-0080,Normal,Delivered
BKG-4310,2026-08-21,BR-008,CUST-0035,"Gate 3, Surat","Warehouse, Kanpur",Surat,Kanpur,Construction hardware,20.5,615,410 pkgs,Not insured,0,27500,RCM,5,1375,0,28875,Deliver before 18:00,USR-0093,Normal,Delivered
