payment_id,date,client_id,invoice_no,mode,reference,amount,received_by
RCP-0057,2026-07-15,CUST-0204,INV-2119,Cash,UTR7184248,44600,Pooja Chauhan
RCP-0058,2026-08-17,CUST-0007,INV-2122,RTGS,UTR3642188,13688,Ganesh Malhotra
RCP-0059,2026-08-30,CUST-0053,INV-2124,RTGS,UTR7914105,8100,Deepak Jha
RCP-0060,2026-08-24,CUST-0160,INV-2125,RTGS,UTR7942462,38200,Jaspreet Jha
RCP-0061,2026-08-12,CUST-0074,INV-2126,RTGS,UTR3320318,9300,Ganesh Malhotra
RCP-0062,2026-08-23,CUST-0177,INV-2128,Cheque,UTR8207793,14700,Ganesh Malhotra
RCP-0063,2026-08-17,CUST-0073,INV-2129,Cheque,UTR3949450,7280,Kishor Khan
RCP-0064,2026-08-21,CUST-0194,INV-2131,RTGS,UTR7268279,6300,Rajesh Deshmukh
RCP-0065,2026-07-24,CUST-0140,INV-2134,RTGS,UTR6252593,9800,Rahul More
RCP-0066,2026-08-09,CUST-0212,INV-2135,Cash,UTR4568418,18816,Ganesh Malhotra
RCP-0067,2026-07-29,CUST-0152,INV-2137,NEFT,UTR1934420,11000,Jaspreet Jha
RCP-0068,2026-08-10,CUST-0072,INV-2138,NEFT,UTR3377793,17700,Arif Deshmukh
RCP-0069,2026-08-18,CUST-0151,INV-2140,UPI,UTR2659510,15100,Pooja Chauhan
RCP-0070,2026-08-16,CUST-0179,INV-2142,UPI,UTR7693093,16100,Rajesh Deshmukh
RCP-0071,2026-08-03,CUST-0086,INV-2143,NEFT,UTR4985660,6200,Amit Pawar
RCP-0072,2026-08-01,CUST-0014,INV-2144,UPI,UTR1760454,7500,Kishor Khan
RCP-0073,2026-08-20,CUST-0015,INV-2145,NEFT,UTR7483410,13900,Arif Deshmukh
RCP-0074,2026-07-21,CUST-0178,INV-2146,NEFT,UTR8742799,6726,Jaspreet Jha
RCP-0075,2026-08-14,CUST-0007,INV-2150,NEFT,UTR7879319,8614,Jaspreet Jha
RCP-0076,2026-08-04,CUST-0195,INV-2152,Cheque,UTR8299982,39312,Lata Kulkarni
RCP-0077,2026-08-12,CUST-0019,INV-2154,Cheque,UTR2185203,9072,Jaspreet Jha
RCP-0078,2026-08-22,CUST-0114,INV-2155,NEFT,UTR7972157,7900,Deepak Jha
RCP-0079,2026-08-13,CUST-0049,INV-2156,NEFT,UTR8090228,38000,Kishor Khan
RCP-0080,2026-07-23,CUST-0160,INV-2159,NEFT,UTR2956098,18500,Ganesh Malhotra
RCP-0081,2026-07-24,CUST-0067,INV-2160,NEFT,UTR5615835,24400,Rahul More
RCP-0082,2026-07-13,CUST-0002,INV-2161,Cheque,UTR2590320,9800,Amit Pawar
RCP-0083,2026-08-14,CUST-0209,INV-2164,Cash,UTR5524342,12400,Amit Pawar
RCP-0084,2026-07-29,CUST-0120,INV-2167,NEFT,UTR1770002,30900,Lata Kulkarni
RCP-0085,2026-08-20,CUST-0195,INV-2169,Cash,UTR3071653,12500,Pooja Chauhan
RCP-0086,2026-08-22,CUST-0038,INV-2170,Cash,UTR5379591,5400,Deepak Jha
RCP-0087,2026-08-11,CUST-0203,INV-2171,NEFT,UTR6947676,14200,Rahul More
RCP-0088,2026-08-24,CUST-0063,INV-2173,Cash,UTR4111790,13200,Jaspreet Jha
RCP-0089,2026-08-06,CUST-0146,INV-2174,UPI,UTR5483470,9500,Rahul More
RCP-0090,2026-07-22,CUST-0096,INV-2175,UPI,UTR4382141,17100,Ganesh Malhotra
RCP-0091,2026-08-19,CUST-0056,INV-2178,RTGS,UTR5537261,12508,Rahul More
RCP-0092,2026-08-26,CUST-0083,INV-2180,NEFT,UTR3308621,3400,Ganesh Malhotra
RCP-0093,2026-07-31,CUST-0206,INV-2183,Cheque,UTR1112293,11400,Pooja Chauhan
RCP-0094,2026-08-11,CUST-0170,INV-2185,RTGS,UTR8059358,14000,Lata Kulkarni
RCP-0095,2026-08-05,CUST-0064,INV-2186,Cash,UTR2525399,21280,Kishor Khan
