period,employee_id,basic,hra,da,incentive,ot,trip_allowance,advances,pf,esi,pt,net,status
Aug 2026,EMP-0034,9000,5400,3600,0,0,7000,7100,1080,135,200,16485,Ready
Aug 2026,EMP-0035,9000,5400,3600,0,0,2800,2500,1080,135,200,16885,Ready
Aug 2026,EMP-0036,9000,5400,3600,0,0,2800,2550,1080,135,200,16835,Ready
Aug 2026,EMP-0037,9000,5400,3600,0,0,1400,1700,1080,135,200,16285,Ready
Aug 2026,EMP-0038,9000,5400,3600,0,0,8400,9450,1080,135,200,15535,Ready
Aug 2026,EMP-0039,9000,5400,3600,0,0,4200,4450,1080,135,200,16335,Ready
Aug 2026,EMP-0040,9000,5400,3600,0,0,1400,1600,1080,135,200,16385,Ready
Aug 2026,EMP-0041,9000,5400,3600,0,0,2800,2700,1080,135,200,16685,Ready
Aug 2026,EMP-0042,9000,5400,3600,0,0,14000,14150,1080,135,200,16435,Ready
Aug 2026,EMP-0043,9000,5400,3600,0,0,5600,5300,1080,135,200,16885,Ready
Aug 2026,EMP-0044,9000,5400,3600,0,0,7000,7450,1080,135,200,16135,Ready
Aug 2026,EMP-0045,9000,5400,3600,0,0,2800,2900,1080,135,200,16485,Ready
Aug 2026,EMP-0046,9000,5400,3600,0,0,11200,11650,1080,135,200,16135,Ready
Aug 2026,EMP-0047,9000,5400,3600,0,0,4200,4700,1080,135,200,16085,Ready
Aug 2026,EMP-0048,9000,5400,3600,0,0,9800,9900,1080,135,200,16485,Ready
Aug 2026,EMP-0049,17000,10200,6800,6000,0,0,0,2040,0,200,37760,Ready
Aug 2026,EMP-0050,19000,11400,7600,0,0,0,0,2280,0,200,35520,Ready
Aug 2026,EMP-0051,20000,12000,8000,0,0,0,0,2400,0,200,37400,Ready
Aug 2026,EMP-0052,20000,12000,8000,0,0,0,0,2400,0,200,37400,Ready
Aug 2026,EMP-0053,21000,12600,8400,0,0,0,0,2520,0,200,39280,Ready
Aug 2026,EMP-0054,19000,11400,7600,0,0,0,0,2280,0,200,35520,Ready
Aug 2026,EMP-0055,17000,10200,6800,0,0,0,0,2040,0,200,31760,Ready
Aug 2026,EMP-0056,16000,9600,6400,6000,0,0,0,1920,0,200,35880,Ready
Aug 2026,EMP-0057,14000,8400,5600,0,0,0,0,1680,0,200,26120,Ready
Aug 2026,EMP-0058,12000,7200,4800,6000,0,0,0,1440,0,200,28360,Ready
Aug 2026,EMP-0059,16000,9600,6400,0,0,0,0,1920,0,200,29880,Ready
Aug 2026,EMP-0060,14000,8400,5600,0,0,0,0,1680,0,200,26120,Ready
Aug 2026,EMP-0061,13000,7800,5200,6000,0,0,0,1560,0,200,30240,Ready
Aug 2026,EMP-0062,15000,9000,6000,3000,0,0,0,1800,0,200,31000,Ready
Aug 2026,EMP-0063,13000,7800,5200,0,0,0,0,1560,0,200,24240,Ready
Aug 2026,EMP-0064,16000,9600,6400,0,0,0,0,1920,0,200,29880,Ready
Aug 2026,EMP-0065,16000,9600,6400,0,0,0,0,1920,0,200,29880,Ready
Aug 2026,EMP-0066,21000,12600,8400,0,0,0,0,2520,0,200,39280,Ready
Aug 2026,EMP-0067,14000,8400,5600,0,0,0,0,1680,0,200,26120,Ready
Aug 2026,EMP-0068,21000,12600,8400,0,0,0,0,2520,0,200,39280,Ready
Aug 2026,EMP-0069,19000,11400,7600,0,0,0,0,2280,0,200,35520,Ready
Aug 2026,EMP-0070,21000,12600,8400,0,0,0,0,2520,0,200,39280,Ready
Aug 2026,EMP-0071,21000,12600,8400,0,0,0,0,2520,0,200,39280,Ready
Aug 2026,EMP-0072,12000,7200,4800,0,0,0,0,1440,0,200,22360,Ready
Aug 2026,EMP-0073,14000,8400,5600,0,0,0,0,1680,0,200,26120,Ready
Aug 2026,EMP-0074,20000,12000,8000,0,0,0,0,2400,0,200,37400,Ready
Aug 2026,EMP-0075,19000,11400,7600,0,0,0,0,2280,0,200,35520,Ready
Aug 2026,EMP-0076,11000,6600,4400,0,0,0,0,1320,0,200,20480,Ready
Aug 2026,EMP-0077,11000,6600,4400,0,800,0,0,1320,0,200,21280,Ready
Aug 2026,EMP-0078,11000,6600,4400,0,1200,0,0,1320,0,200,21680,Ready
Aug 2026,EMP-0079,11000,6600,4400,0,800,0,0,1320,0,200,21280,Ready
Aug 2026,EMP-0080,11000,6600,4400,0,1200,0,0,1320,0,200,21680,Ready
Aug 2026,EMP-0081,11000,6600,4400,0,0,0,0,1320,0,200,20480,Ready
