invoice_no,invoice_date,client_id,branch_id,lr_no,cn_no,amount,gst_mode,gst_pct,gst_amount,total,paid_amount,due_date,source,status
INV-2059,2026-07-09,CUST-0068,BR-015,LR-8609,CN-90609,11500,RCM,5,0,11500,0,2026-07-23,auto,Overdue
INV-2060,2026-08-04,CUST-0031,BR-002,LR-8610,CN-90610,29700,FCM,18,5346,35046,35046,2026-08-18,auto,Paid
INV-2061,2026-08-24,CUST-0058,BR-007,LR-8611,CN-90611,18200,RCM,5,0,18200,0,2026-09-07,auto,Sent
INV-2062,2026-08-09,CUST-0022,BR-011,LR-8612,CN-90612,17000,RCM,5,0,17000,17000,2026-08-23,auto,Paid
INV-2063,2026-08-18,CUST-0095,BR-017,LR-8614,CN-90614,8500,FCM,18,1530,10030,0,2026-09-01,auto,Draft
INV-2064,2026-07-13,CUST-0012,BR-001,LR-8615,CN-90615,20600,FCM,12,2472,23072,23072,2026-07-27,auto,Paid
INV-2065,2026-08-11,CUST-0155,BR-005,LR-8616,CN-90616,17200,RCM,5,0,17200,0,2026-08-25,auto,Overdue
INV-2066,2026-07-17,CUST-0206,BR-011,LR-8620,CN-90620,14200,RCM,5,0,14200,14200,2026-07-31,auto,Paid
INV-2067,2026-07-29,CUST-0186,BR-011,LR-8621,CN-90621,6000,RCM,5,0,6000,6000,2026-08-12,auto,Paid
INV-2068,2026-08-26,CUST-0024,BR-015,LR-8624,CN-90624,12000,FCM,18,2160,14160,0,2026-09-09,auto,Draft
INV-2069,2026-08-18,CUST-0131,BR-004,LR-8625,CN-90625,19900,RCM,5,0,19900,0,2026-09-01,auto,Draft
INV-2070,2026-08-25,CUST-0104,BR-007,LR-8626,CN-90626,11200,RCM,5,0,11200,0,2026-09-08,auto,Sent
INV-2071,2026-08-13,CUST-0143,BR-001,LR-8627,CN-90627,12700,RCM,5,0,12700,0,2026-08-27,auto,Overdue
INV-2072,2026-08-20,CUST-0104,BR-007,LR-8629,CN-90629,20400,RCM,5,0,20400,0,2026-09-03,auto,Sent
INV-2073,2026-08-07,CUST-0173,BR-016,LR-8632,CN-90632,11100,RCM,5,0,11100,11100,2026-08-21,auto,Paid
INV-2074,2026-07-13,CUST-0020,BR-001,LR-8635,CN-90635,19300,RCM,5,0,19300,19300,2026-07-27,auto,Paid
INV-2075,2026-08-01,CUST-0048,BR-005,LR-8636,CN-90636,32100,RCM,5,0,32100,32100,2026-08-15,auto,Paid
INV-2076,2026-08-19,CUST-0035,BR-008,LR-8637,CN-90637,16100,RCM,5,0,16100,0,2026-09-02,auto,Sent
INV-2077,2026-07-29,CUST-0049,BR-016,LR-8638,CN-90638,16600,RCM,5,0,16600,0,2026-08-12,auto,Overdue
INV-2078,2026-08-08,CUST-0125,BR-010,LR-8639,CN-90639,26100,FCM,18,4698,30798,30798,2026-08-22,auto,Paid
INV-2079,2026-08-20,CUST-0201,BR-014,LR-8641,CN-90641,11900,RCM,5,0,11900,0,2026-09-03,auto,Sent
INV-2080,2026-08-08,CUST-0080,BR-012,LR-8642,CN-90642,33500,RCM,5,0,33500,33500,2026-08-22,auto,Paid
INV-2081,2026-08-10,CUST-0122,BR-017,LR-8643,CN-90643,42100,RCM,5,0,42100,42100,2026-08-24,auto,Paid
INV-2082,2026-07-06,CUST-0087,BR-008,LR-8644,CN-90644,18700,RCM,5,0,18700,0,2026-07-20,auto,Overdue
INV-2083,2026-08-22,CUST-0201,BR-014,LR-8645,CN-90645,9700,RCM,5,0,9700,0,2026-09-05,auto,Sent
INV-2084,2026-08-13,CUST-0034,BR-012,LR-8647,CN-90647,10200,RCM,5,0,10200,6100,2026-08-27,auto,Partially paid
INV-2085,2026-08-20,CUST-0118,BR-013,LR-8650,CN-90650,38300,RCM,5,0,38300,0,2026-09-03,auto,Sent
INV-2086,2026-08-17,CUST-0148,BR-016,LR-8651,CN-90651,9600,RCM,5,0,9600,9600,2026-08-31,auto,Paid
INV-2087,2026-08-02,CUST-0116,BR-010,LR-8652,CN-90652,19600,RCM,5,0,19600,0,2026-08-16,auto,Overdue
INV-2088,2026-07-19,CUST-0161,BR-005,LR-8653,CN-90653,15000,FCM,18,2700,17700,17700,2026-08-02,auto,Paid
INV-2089,2026-07-17,CUST-0145,BR-011,LR-8654,CN-90654,13200,RCM,5,0,13200,13200,2026-07-31,auto,Paid
INV-2090,2026-07-23,CUST-0058,BR-007,LR-8655,CN-90655,16100,RCM,5,0,16100,0,2026-08-06,auto,Overdue
INV-2091,2026-08-09,CUST-0050,BR-014,LR-8656,CN-90656,16100,RCM,5,0,16100,16100,2026-08-23,auto,Paid
INV-2092,2026-07-22,CUST-0013,BR-012,LR-8657,CN-90657,15900,RCM,5,0,15900,15900,2026-08-05,auto,Paid
INV-2093,2026-07-30,CUST-0079,BR-018,LR-8658,CN-90658,21200,RCM,5,0,21200,21200,2026-08-13,auto,Paid
INV-2094,2026-08-14,CUST-0017,BR-013,LR-8659,CN-90659,29500,FCM,12,3540,33040,33040,2026-08-28,auto,Paid
INV-2095,2026-08-24,CUST-0164,BR-002,LR-8663,CN-90663,11800,RCM,5,0,11800,0,2026-09-07,auto,Sent
INV-2096,2026-07-16,CUST-0072,BR-005,LR-8664,CN-90664,12800,RCM,5,0,12800,12800,2026-07-30,auto,Paid
INV-2097,2026-08-30,CUST-0022,BR-011,LR-8665,CN-90665,11400,RCM,5,0,11400,0,2026-09-13,auto,Sent
INV-2098,2026-08-09,CUST-0005,BR-013,LR-8667,CN-90667,31300,RCM,5,0,31300,31300,2026-08-23,auto,Paid
INV-2099,2026-08-10,CUST-0014,BR-011,LR-8668,CN-90668,10000,RCM,5,0,10000,0,2026-08-24,auto,Overdue
INV-2100,2026-08-25,CUST-0029,BR-017,LR-8673,CN-90673,7800,RCM,5,0,7800,0,2026-09-08,auto,Draft
INV-2101,2026-08-26,CUST-0181,BR-001,LR-8675,CN-90675,23100,RCM,5,0,23100,0,2026-09-09,auto,Sent
INV-2102,2026-08-01,CUST-0184,BR-013,LR-8676,CN-90676,9600,RCM,5,0,9600,0,2026-08-15,auto,Overdue
INV-2103,2026-07-31,CUST-0060,BR-008,LR-8677,CN-90677,5700,RCM,5,0,5700,5700,2026-08-14,auto,Paid
INV-2104,2026-08-17,CUST-0101,BR-008,LR-8678,CN-90678,19700,RCM,5,0,19700,8300,2026-08-31,auto,Partially paid
INV-2105,2026-08-24,CUST-0019,BR-010,LR-8680,CN-90680,9700,FCM,12,1164,10864,0,2026-09-07,auto,Sent
INV-2106,2026-08-06,CUST-0129,BR-001,LR-8682,CN-90682,5200,FCM,18,936,6136,6136,2026-08-20,auto,Paid
INV-2107,2026-08-20,CUST-0016,BR-001,LR-8684,CN-90684,12900,FCM,18,2322,15222,0,2026-09-03,auto,Draft
INV-2108,2026-08-06,CUST-0070,BR-011,LR-8686,CN-90686,7500,FCM,12,900,8400,8400,2026-08-20,auto,Paid
INV-2109,2026-08-08,CUST-0126,BR-010,LR-8687,CN-90687,9800,RCM,5,0,9800,9800,2026-08-22,auto,Paid
INV-2110,2026-07-20,CUST-0157,BR-006,LR-8688,CN-90688,17800,RCM,5,0,17800,17800,2026-08-03,auto,Paid
INV-2111,2026-08-07,CUST-0173,BR-016,LR-8689,CN-90689,13600,RCM,5,0,13600,0,2026-08-21,auto,Overdue
INV-2112,2026-08-25,CUST-0188,BR-004,LR-8690,CN-90690,20800,RCM,5,0,20800,0,2026-09-08,auto,Sent
INV-2113,2026-07-26,CUST-0130,BR-013,LR-8692,CN-90692,15900,RCM,5,0,15900,0,2026-08-09,auto,Overdue
INV-2114,2026-08-07,CUST-0039,BR-014,LR-8693,CN-90693,6500,RCM,5,0,6500,6500,2026-08-21,auto,Paid
INV-2115,2026-08-06,CUST-0124,BR-003,LR-8696,CN-90696,23300,RCM,5,0,23300,0,2026-08-20,auto,Overdue
INV-2116,2026-08-07,CUST-0187,BR-015,LR-8699,CN-90699,12500,RCM,5,0,12500,0,2026-08-21,auto,Overdue
INV-2117,2026-07-11,CUST-0072,BR-005,LR-8706,CN-90706,9300,RCM,5,0,9300,9300,2026-07-25,auto,Paid
INV-2118,2026-08-23,CUST-0190,BR-015,LR-8708,CN-90708,16100,FCM,12,1932,18032,0,2026-09-06,auto,Draft
INV-2119,2026-07-10,CUST-0204,BR-007,LR-8709,CN-90709,44600,RCM,5,0,44600,44600,2026-07-24,auto,Paid
INV-2120,2026-08-20,CUST-0098,BR-001,LR-8714,CN-90714,15900,RCM,5,0,15900,0,2026-09-03,auto,Draft
INV-2121,2026-08-20,CUST-0132,BR-003,LR-8715,CN-90715,16100,RCM,5,0,16100,0,2026-09-03,auto,Sent
INV-2122,2026-08-13,CUST-0007,BR-001,LR-8716,CN-90716,11600,FCM,18,2088,13688,13688,2026-08-27,auto,Paid
INV-2123,2026-08-28,CUST-0150,BR-014,LR-8717,CN-90717,20200,RCM,5,0,20200,0,2026-09-11,auto,Sent
INV-2124,2026-08-16,CUST-0053,BR-010,LR-8720,CN-90720,8100,RCM,5,0,8100,8100,2026-08-30,auto,Paid
INV-2125,2026-08-10,CUST-0160,BR-015,LR-8721,CN-90721,38200,RCM,5,0,38200,38200,2026-08-24,auto,Paid
INV-2126,2026-08-08,CUST-0074,BR-007,LR-8722,CN-90722,9300,RCM,5,0,9300,9300,2026-08-22,auto,Paid
INV-2127,2026-08-27,CUST-0050,BR-014,LR-8725,CN-90725,6800,RCM,5,0,6800,0,2026-09-10,auto,Draft
INV-2128,2026-08-17,CUST-0177,BR-005,LR-8726,CN-90726,19100,FCM,12,2292,21392,14700,2026-08-31,auto,Partially paid
INV-2129,2026-08-08,CUST-0073,BR-004,LR-8729,CN-90729,6500,FCM,12,780,7280,7280,2026-08-22,auto,Paid
INV-2130,2026-08-17,CUST-0015,BR-009,LR-8731,CN-90731,14700,RCM,5,0,14700,0,2026-08-31,auto,Overdue
INV-2131,2026-08-15,CUST-0194,BR-011,LR-8733,CN-90733,12400,RCM,5,0,12400,6300,2026-08-29,auto,Partially paid
INV-2132,2026-08-23,CUST-0207,BR-002,LR-8734,CN-90734,11000,FCM,18,1980,12980,0,2026-09-06,auto,Sent
INV-2133,2026-08-20,CUST-0152,BR-017,LR-8735,CN-90735,28800,RCM,5,0,28800,0,2026-09-03,auto,Sent
INV-2134,2026-07-10,CUST-0140,BR-001,LR-8737,CN-90737,9800,RCM,5,0,9800,9800,2026-07-24,auto,Paid
INV-2135,2026-08-03,CUST-0212,BR-010,LR-8738,CN-90738,16800,FCM,12,2016,18816,18816,2026-08-17,auto,Paid
INV-2136,2026-08-14,CUST-0116,BR-010,LR-8739,CN-90739,20100,RCM,5,0,20100,0,2026-08-28,auto,Overdue
INV-2137,2026-07-25,CUST-0152,BR-017,LR-8742,CN-90742,11000,RCM,5,0,11000,11000,2026-08-08,auto,Paid
INV-2138,2026-08-06,CUST-0072,BR-005,LR-8743,CN-90743,17700,RCM,5,0,17700,17700,2026-08-20,auto,Paid
INV-2139,2026-08-11,CUST-0006,BR-012,LR-8744,CN-90744,29000,RCM,5,0,29000,0,2026-08-25,auto,Overdue
INV-2140,2026-08-10,CUST-0151,BR-010,LR-8745,CN-90745,15100,RCM,5,0,15100,15100,2026-08-24,auto,Paid
INV-2141,2026-08-11,CUST-0010,BR-012,LR-8746,CN-90746,5200,RCM,5,0,5200,0,2026-08-25,auto,Overdue
INV-2142,2026-08-09,CUST-0179,BR-011,LR-8747,CN-90747,16100,RCM,5,0,16100,16100,2026-08-23,auto,Paid
INV-2143,2026-07-23,CUST-0086,BR-008,LR-8748,CN-90748,6200,RCM,5,0,6200,6200,2026-08-06,auto,Paid
INV-2144,2026-07-26,CUST-0014,BR-011,LR-8749,CN-90749,7500,RCM,5,0,7500,7500,2026-08-09,auto,Paid
INV-2145,2026-08-14,CUST-0015,BR-009,LR-8750,CN-90750,20200,RCM,5,0,20200,13900,2026-08-28,auto,Partially paid
INV-2146,2026-07-15,CUST-0178,BR-008,LR-8751,CN-90751,5700,FCM,18,1026,6726,6726,2026-07-29,auto,Paid
INV-2147,2026-08-19,CUST-0208,BR-009,LR-8753,CN-90753,23600,RCM,5,0,23600,0,2026-09-02,auto,Sent
INV-2148,2026-08-19,CUST-0144,BR-005,LR-8754,CN-90754,9400,RCM,5,0,9400,0,2026-09-02,auto,Sent
INV-2149,2026-08-19,CUST-0193,BR-016,LR-8755,CN-90755,12400,RCM,5,0,12400,0,2026-09-02,auto,Sent
INV-2150,2026-08-04,CUST-0007,BR-001,LR-8757,CN-90757,7300,FCM,18,1314,8614,8614,2026-08-18,auto,Paid
INV-2151,2026-08-10,CUST-0120,BR-004,LR-8758,CN-90758,11100,RCM,5,0,11100,0,2026-08-24,auto,Overdue
INV-2152,2026-07-26,CUST-0195,BR-015,LR-8759,CN-90759,35100,FCM,12,4212,39312,39312,2026-08-09,auto,Paid
INV-2153,2026-08-29,CUST-0056,BR-005,LR-8761,CN-90761,17400,FCM,18,3132,20532,0,2026-09-12,auto,Draft
INV-2154,2026-08-07,CUST-0019,BR-010,LR-8762,CN-90762,8100,FCM,12,972,9072,9072,2026-08-21,auto,Paid
INV-2155,2026-08-08,CUST-0114,BR-006,LR-8763,CN-90763,7900,RCM,5,0,7900,7900,2026-08-22,auto,Paid
INV-2156,2026-08-07,CUST-0049,BR-016,LR-8764,CN-90764,38000,RCM,5,0,38000,38000,2026-08-21,auto,Paid
INV-2157,2026-08-21,CUST-0160,BR-015,LR-8769,CN-90769,27300,RCM,5,0,27300,0,2026-09-04,auto,Sent
INV-2158,2026-08-09,CUST-0006,BR-012,LR-8774,CN-90774,29900,RCM,5,0,29900,0,2026-08-23,auto,Overdue
INV-2159,2026-07-15,CUST-0160,BR-015,LR-8775,CN-90775,18500,RCM,5,0,18500,18500,2026-07-29,auto,Paid
INV-2160,2026-07-16,CUST-0067,BR-004,LR-8777,CN-90777,24400,RCM,5,0,24400,24400,2026-07-30,auto,Paid
INV-2161,2026-07-06,CUST-0002,BR-014,LR-8779,CN-90779,9800,RCM,5,0,9800,9800,2026-07-20,auto,Paid
INV-2162,2026-08-19,CUST-0017,BR-013,LR-8780,CN-90780,13700,FCM,12,1644,15344,0,2026-09-02,auto,Sent
INV-2163,2026-08-26,CUST-0061,BR-011,LR-8785,CN-90785,6500,FCM,12,780,7280,0,2026-09-09,auto,Sent
INV-2164,2026-08-02,CUST-0209,BR-011,LR-8786,CN-90786,12400,RCM,5,0,12400,12400,2026-08-16,auto,Paid
INV-2165,2026-07-17,CUST-0073,BR-004,LR-8787,CN-90787,7600,FCM,12,912,8512,0,2026-07-31,auto,Overdue
INV-2166,2026-08-06,CUST-0205,BR-001,LR-8788,CN-90788,19300,RCM,5,0,19300,0,2026-08-20,auto,Overdue
INV-2167,2026-07-22,CUST-0120,BR-004,LR-8790,CN-90790,30900,RCM,5,0,30900,30900,2026-08-05,auto,Paid
INV-2168,2026-08-06,CUST-0169,BR-008,LR-8792,CN-90792,11400,RCM,5,0,11400,0,2026-08-20,auto,Overdue
INV-2169,2026-08-12,CUST-0195,BR-015,LR-8793,CN-90793,24800,FCM,12,2976,27776,12500,2026-08-26,auto,Partially paid
INV-2170,2026-08-14,CUST-0038,BR-005,LR-8794,CN-90794,7900,RCM,5,0,7900,5400,2026-08-28,auto,Partially paid
INV-2171,2026-08-02,CUST-0203,BR-008,LR-8795,CN-90795,14200,RCM,5,0,14200,14200,2026-08-16,auto,Paid
INV-2172,2026-07-25,CUST-0082,BR-012,LR-8796,CN-90796,34800,RCM,5,0,34800,0,2026-08-08,auto,Overdue
INV-2173,2026-08-17,CUST-0063,BR-016,LR-8797,CN-90797,27300,RCM,5,0,27300,13200,2026-08-31,auto,Partially paid
INV-2174,2026-07-28,CUST-0146,BR-013,LR-8798,CN-90798,9500,RCM,5,0,9500,9500,2026-08-11,auto,Paid
INV-2175,2026-07-10,CUST-0096,BR-010,LR-8800,CN-90800,17100,RCM,5,0,17100,17100,2026-07-24,auto,Paid
INV-2176,2026-08-20,CUST-0048,BR-005,LR-8803,CN-90803,8300,RCM,5,0,8300,0,2026-09-03,auto,Sent
INV-2177,2026-08-29,CUST-0100,BR-007,LR-8804,CN-90804,13200,FCM,12,1584,14784,0,2026-09-12,auto,Sent
INV-2178,2026-08-07,CUST-0056,BR-005,LR-8806,CN-90806,10600,FCM,18,1908,12508,12508,2026-08-21,auto,Paid
INV-2179,2026-08-18,CUST-0080,BR-012,LR-8807,CN-90807,23200,RCM,5,0,23200,0,2026-09-01,auto,Draft
INV-2180,2026-08-15,CUST-0083,BR-009,LR-8808,CN-90808,7800,RCM,5,0,7800,3400,2026-08-29,auto,Partially paid
INV-2181,2026-08-22,CUST-0013,BR-012,LR-8809,CN-90809,15000,RCM,5,0,15000,0,2026-09-05,auto,Sent
INV-2182,2026-08-09,CUST-0063,BR-016,LR-8810,CN-90810,30000,RCM,5,0,30000,0,2026-08-23,auto,Overdue
INV-2183,2026-07-24,CUST-0206,BR-011,LR-8811,CN-90811,11400,RCM,5,0,11400,11400,2026-08-07,auto,Paid
INV-2184,2026-08-26,CUST-0103,BR-011,LR-8812,CN-90812,18800,RCM,5,0,18800,0,2026-09-09,auto,Sent
INV-2185,2026-07-30,CUST-0170,BR-014,LR-8813,CN-90813,14000,RCM,5,0,14000,14000,2026-08-13,auto,Paid
INV-2186,2026-07-29,CUST-0064,BR-010,LR-8814,CN-90814,19000,FCM,12,2280,21280,21280,2026-08-12,auto,Paid
INV-2187,2026-08-12,CUST-0105,BR-001,LR-8815,CN-90815,21100,RCM,5,0,21100,0,2026-08-26,auto,Overdue
