vehicle_id,reg_no,model,body,capacity_t,owner_type,vendor_id,driver_id,branch_id,rc_number,insurance_expiry,fitness_expiry,permit_expiry,puc_expiry,service_due_km,joined_fleet,status
VEH-027,MH-30 LD 8966,Tata Signa 3523.TK,32 ft MXL,25,Company,,,BR-004,MH30LD89663835,2027-10-10,2028-04-14,2028-08-29,2026-09-10,90000,2022-05-14,Maintenance
VEH-028,UP-01 ZU 9848,Ashok Leyland 3520,32 ft SXL,25,Vendor,VND-0027,,BR-009,UP01ZU98484889,2027-12-28,2027-08-18,2028-09-18,2027-01-29,90000,2024-12-28,Available
VEH-029,RJ-25 RQ 9382,Ashok Leyland 3520,32 ft SXL,25,Company,,EMP-0017,BR-007,RJ25RQ93828165,2027-06-17,2027-03-14,2026-11-26,2026-12-01,110000,2021-12-30,In Transit
VEH-030,MH-12 GV 9256,BharatBenz 4023,Trailer 40 ft,30,Vendor,VND-0020,EMP-0027,BR-001,MH12GV92563609,2027-01-12,2027-06-20,2028-02-10,2027-07-21,180000,2020-11-02,In Transit
VEH-031,CG-25 SC 5788,Eicher Pro 6028,28 ft,18,Vendor,VND-0029,,BR-006,CG25SC57884438,2026-09-30,2027-06-08,2027-06-10,2026-11-24,190000,2022-05-23,Allocated
VEH-032,MH-23 PF 1330,Tata LPT 1618,24 ft,16,Vendor,VND-0015,EMP-0039,BR-003,MH23PF13306059,2027-05-01,2028-01-31,2028-05-18,2027-06-27,80000,2024-11-05,Available
VEH-033,MH-19 FA 5539,Tata Signa 3523.TK,32 ft MXL,25,Vendor,VND-0029,,BR-004,MH19FA55397785,2027-07-01,2026-11-20,2028-09-16,2027-08-18,80000,2020-11-13,In Transit
VEH-034,CG-09 WG 1075,Tata LPT 1618,24 ft,16,Vendor,VND-0030,,BR-006,CG09WG10759647,2027-08-09,2027-06-30,2026-11-21,2027-09-29,100000,2025-07-23,In Transit
VEH-035,MH-19 EC 9063,Eicher Pro 2114,19 ft,10,Company,,EMP-0030,BR-001,MH19EC90637405,2027-09-14,2027-06-07,2027-08-29,2027-08-07,120000,2021-05-09,Allocated
VEH-036,GJ-24 DG 2873,BharatBenz 4023,Trailer 40 ft,30,Company,,,BR-013,GJ24DG28731772,2027-02-19,2028-04-23,2027-06-14,2027-03-16,60000,2022-08-15,In Transit
VEH-037,GJ-45 BY 7831,Eicher Pro 6028,28 ft,18,Vendor,VND-0023,EMP-0007,BR-008,GJ45BY78313693,2027-05-17,2027-05-08,2027-10-18,2027-03-02,180000,2024-07-08,Available
VEH-038,RJ-19 FN 4687,Ashok Leyland 2820,22 ft Taurus,21,Vendor,VND-0007,EMP-0043,BR-007,RJ19FN46878867,2026-08-27,2027-11-20,2027-04-02,2027-07-02,190000,2023-05-05,In Transit
VEH-039,MH-32 EU 9783,Eicher Pro 2114,19 ft,10,Company,,EMP-0033,BR-001,MH32EU97835354,2026-12-02,2026-11-17,2028-12-11,2027-05-12,70000,2024-12-01,Available
VEH-040,MH-26 AL 9348,Ashok Leyland 2820,22 ft Taurus,21,Company,,EMP-0036,BR-001,MH26AL93483518,2026-10-21,2027-04-10,2027-01-04,2026-09-09,100000,2022-12-20,Available
VEH-041,DL-31 TN 9999,Eicher Pro 2114,19 ft,10,Vendor,VND-0009,EMP-0026,BR-002,DL31TN99999800,2027-06-24,2027-01-13,2027-10-19,2026-09-24,130000,2025-09-27,Available
VEH-042,MH-28 XY 4786,Tata Signa 3523.TK,32 ft MXL,25,Company,,EMP-0042,BR-003,MH28XY47864304,2026-10-08,2028-01-19,2027-04-12,2027-01-27,110000,2021-02-01,Available
VEH-043,MH-03 QM 6959,Tata Signa 3523.TK,32 ft MXL,25,Company,,EMP-0045,BR-003,MH03QM69595066,2027-06-21,2027-02-05,2027-08-14,2026-09-13,60000,2021-01-02,Available
VEH-044,MH-33 JS 3879,Eicher Pro 2114,19 ft,10,Company,,EMP-0038,BR-001,MH33JS38798219,2026-10-20,2028-04-16,2029-10-12,2027-06-26,80000,2020-12-23,Allocated
VEH-045,MP-41 XL 8912,BharatBenz 4023,Trailer 40 ft,30,Company,,EMP-0029,BR-005,MP41XL89125715,2027-07-30,2027-01-05,2029-01-17,2027-06-08,190000,2022-09-02,In Transit
VEH-046,MP-28 EK 4925,Eicher Pro 2114,19 ft,10,Company,,,BR-011,MP28EK49259875,2026-10-02,2027-05-06,2028-12-12,2027-08-07,130000,2023-03-11,Allocated
VEH-047,CG-34 GX 2513,Tata Signa 3523.TK,32 ft MXL,25,Vendor,VND-0008,,BR-006,CG34GX25131801,2026-09-04,2027-06-07,2029-06-03,2027-09-17,110000,2020-10-19,In Transit
VEH-048,MH-04 OE 2888,Eicher Pro 2114,19 ft,10,Company,,EMP-0040,BR-001,MH04OE28881618,2027-01-30,2027-08-05,2028-04-18,2027-08-12,80000,2025-03-08,Maintenance
VEH-049,MH-35 XM 7777,BharatBenz 4023,Trailer 40 ft,30,Vendor,VND-0031,,BR-004,MH35XM77772221,2027-01-22,2026-11-14,2029-10-09,2027-03-07,200000,2022-12-16,In Transit
VEH-050,MH-24 HE 5799,Ashok Leyland 2820,22 ft Taurus,21,Company,,,BR-003,MH24HE57991944,2026-09-10,2027-12-21,2027-07-13,2026-12-23,190000,2025-08-20,Allocated
VEH-051,MH-09 HI 3608,Ashok Leyland 2820,22 ft Taurus,21,Company,,EMP-0006,BR-010,MH09HI36085506,2026-12-19,2028-03-06,2028-08-14,2027-02-09,180000,2025-04-16,Allocated
VEH-052,DL-33 VM 9712,Eicher Pro 6028,28 ft,18,Company,,EMP-0032,BR-002,DL33VM97124653,2027-06-18,2027-08-23,2029-03-30,2027-02-17,150000,2023-08-04,Available
VEH-053,DL-21 VX 1531,Eicher Pro 6028,28 ft,18,Vendor,VND-0004,EMP-0034,BR-002,DL21VX15311577,2026-11-05,2026-10-01,2026-12-19,2026-11-16,110000,2025-07-10,In Transit
VEH-054,DL-37 TW 6289,Eicher Pro 2114,19 ft,10,Vendor,VND-0029,EMP-0037,BR-002,DL37TW62896268,2027-04-02,2027-08-01,2027-04-14,2026-12-04,120000,2023-11-23,Available
VEH-055,MP-29 LW 9122,Ashok Leyland 3520,32 ft SXL,25,Company,,EMP-0048,BR-005,MP29LW91229844,2027-10-15,2027-03-11,2027-10-14,2027-06-09,70000,2023-08-23,Available
VEH-056,MH-23 YC 3782,Eicher Pro 2114,19 ft,10,Company,,EMP-0041,BR-001,MH23YC37826720,2027-04-09,2027-07-16,2026-11-04,2026-12-26,200000,2023-03-07,Available
VEH-057,UP-19 FE 1711,Eicher Pro 6028,28 ft,18,Company,,,BR-009,UP19FE17115119,2027-09-29,2027-11-27,2026-12-24,2026-09-06,170000,2025-02-19,In Transit
VEH-058,GJ-37 HO 2264,BharatBenz 4023,Trailer 40 ft,30,Company,,EMP-0013,BR-008,GJ37HO22645816,2026-11-04,2026-10-19,2029-10-09,2027-08-27,140000,2021-11-29,Inactive
VEH-059,MH-04 XG 5163,Ashok Leyland 2820,22 ft Taurus,21,Company,,EMP-0046,BR-001,MH04XG51633027,2027-01-28,2027-04-17,2026-12-11,2027-06-22,150000,2021-05-25,In Transit
VEH-060,MH-10 BZ 9227,Tata LPT 1618,24 ft,16,Vendor,VND-0024,,BR-003,MH10BZ92278078,2026-12-12,2027-09-04,2027-06-19,2027-02-24,120000,2022-10-24,In Transit
VEH-061,RJ-43 HI 8264,Ashok Leyland 2820,22 ft Taurus,21,Vendor,VND-0023,,BR-007,RJ43HI82642168,2027-02-13,2027-04-03,2028-06-09,2027-01-28,90000,2021-01-19,In Transit
VEH-062,MH-07 RO 9721,Ashok Leyland 3520,32 ft SXL,25,Vendor,VND-0031,,BR-003,MH07RO97219686,2027-10-02,2027-10-12,2027-08-16,2027-01-22,100000,2021-02-18,Maintenance
