employee_id,date,status,trip_no,leave_type
EMP-0002,2026-08-30,off,,
EMP-0002,2026-08-31,P,,
EMP-0002,2026-09-01,P,,
EMP-0003,2026-08-03,T,TRP-2274,
EMP-0003,2026-08-04,T,TRP-2212,
EMP-0003,2026-08-05,A,,
EMP-0003,2026-08-06,P,,
EMP-0003,2026-08-07,P,,
EMP-0003,2026-08-08,P,,
EMP-0003,2026-08-09,off,,
EMP-0003,2026-08-10,A,,
EMP-0003,2026-08-11,T,TRP-2139,
EMP-0003,2026-08-12,A,,
EMP-0003,2026-08-13,A,,
EMP-0003,2026-08-14,T,TRP-2182,
EMP-0003,2026-08-15,L,,CL
EMP-0003,2026-08-16,off,,
EMP-0003,2026-08-17,P,,
EMP-0003,2026-08-18,P,,
EMP-0003,2026-08-19,T,TRP-2138,
EMP-0003,2026-08-20,T,TRP-2290,
EMP-0003,2026-08-21,P,,
EMP-0003,2026-08-22,P,,
EMP-0003,2026-08-23,off,,
EMP-0003,2026-08-24,L,,EL
EMP-0003,2026-08-25,P,,
EMP-0003,2026-08-26,T,TRP-2340,
EMP-0003,2026-08-27,P,,
EMP-0003,2026-08-28,P,,
EMP-0003,2026-08-29,P,,
EMP-0003,2026-08-30,off,,
EMP-0003,2026-08-31,P,,
EMP-0003,2026-09-01,P,,
EMP-0004,2026-08-03,P,,
EMP-0004,2026-08-04,P,,
EMP-0004,2026-08-05,T,TRP-2289,
EMP-0004,2026-08-06,T,TRP-2346,
EMP-0004,2026-08-07,L,,SL
EMP-0004,2026-08-08,A,,
EMP-0004,2026-08-09,off,,
EMP-0004,2026-08-10,P,,
EMP-0004,2026-08-11,P,,
EMP-0004,2026-08-12,P,,
EMP-0004,2026-08-13,P,,
EMP-0004,2026-08-14,P,,
EMP-0004,2026-08-15,P,,
EMP-0004,2026-08-16,off,,
EMP-0004,2026-08-17,T,TRP-2197,
EMP-0004,2026-08-18,P,,
EMP-0004,2026-08-19,P,,
EMP-0004,2026-08-20,P,,
EMP-0004,2026-08-21,P,,
EMP-0004,2026-08-22,T,TRP-2385,
EMP-0004,2026-08-23,off,,
EMP-0004,2026-08-24,P,,
EMP-0004,2026-08-25,P,,
EMP-0004,2026-08-26,P,,
EMP-0004,2026-08-27,P,,
EMP-0004,2026-08-28,P,,
EMP-0004,2026-08-29,P,,
EMP-0004,2026-08-30,off,,
EMP-0004,2026-08-31,P,,
EMP-0004,2026-09-01,P,,
EMP-0005,2026-08-03,T,TRP-2406,
EMP-0005,2026-08-04,T,TRP-2282,
EMP-0005,2026-08-05,P,,
EMP-0005,2026-08-06,P,,
EMP-0005,2026-08-07,P,,
EMP-0005,2026-08-08,P,,
EMP-0005,2026-08-09,off,,
EMP-0005,2026-08-10,P,,
EMP-0005,2026-08-11,P,,
EMP-0005,2026-08-12,P,,
EMP-0005,2026-08-13,P,,
EMP-0005,2026-08-14,T,TRP-2355,
EMP-0005,2026-08-15,T,TRP-2180,
EMP-0005,2026-08-16,off,,
EMP-0005,2026-08-17,A,,
EMP-0005,2026-08-18,P,,
EMP-0005,2026-08-19,A,,
EMP-0005,2026-08-20,P,,
EMP-0005,2026-08-21,L,,SL
EMP-0005,2026-08-22,P,,
EMP-0005,2026-08-23,off,,
EMP-0005,2026-08-24,P,,
EMP-0005,2026-08-25,P,,
EMP-0005,2026-08-26,T,TRP-2371,
EMP-0005,2026-08-27,A,,
EMP-0005,2026-08-28,P,,
EMP-0005,2026-08-29,P,,
EMP-0005,2026-08-30,off,,
EMP-0005,2026-08-31,P,,
EMP-0005,2026-09-01,P,,
EMP-0006,2026-08-03,T,TRP-2286,
EMP-0006,2026-08-04,L,,EL
EMP-0006,2026-08-05,T,TRP-2115,
EMP-0006,2026-08-06,P,,
EMP-0006,2026-08-07,P,,
EMP-0006,2026-08-08,L,,EL
EMP-0006,2026-08-09,off,,
EMP-0006,2026-08-10,P,,
EMP-0006,2026-08-11,P,,
EMP-0006,2026-08-12,L,,CL
EMP-0006,2026-08-13,P,,
EMP-0006,2026-08-14,A,,
EMP-0006,2026-08-15,P,,
EMP-0006,2026-08-16,off,,
EMP-0006,2026-08-17,P,,
EMP-0006,2026-08-18,L,,CL
EMP-0006,2026-08-19,L,,CL
EMP-0006,2026-08-20,P,,
EMP-0006,2026-08-21,P,,
EMP-0006,2026-08-22,P,,
EMP-0006,2026-08-23,off,,
EMP-0006,2026-08-24,P,,
EMP-0006,2026-08-25,P,,
EMP-0006,2026-08-26,A,,
EMP-0006,2026-08-27,P,,
EMP-0006,2026-08-28,P,,
EMP-0006,2026-08-29,P,,
EMP-0006,2026-08-30,T,TRP-2163,
EMP-0006,2026-08-31,P,,
EMP-0006,2026-09-01,P,,
EMP-0007,2026-08-03,P,,
EMP-0007,2026-08-04,T,TRP-2136,
EMP-0007,2026-08-05,P,,
EMP-0007,2026-08-06,P,,
EMP-0007,2026-08-07,L,,CL
EMP-0007,2026-08-08,P,,
EMP-0007,2026-08-09,off,,
EMP-0007,2026-08-10,P,,
EMP-0007,2026-08-11,L,,SL
EMP-0007,2026-08-12,P,,
EMP-0007,2026-08-13,T,TRP-2278,
EMP-0007,2026-08-14,P,,
EMP-0007,2026-08-15,A,,
EMP-0007,2026-08-16,T,TRP-2101,
EMP-0007,2026-08-17,P,,
EMP-0007,2026-08-18,P,,
EMP-0007,2026-08-19,P,,
EMP-0007,2026-08-20,P,,
EMP-0007,2026-08-21,P,,
EMP-0007,2026-08-22,P,,
EMP-0007,2026-08-23,off,,
EMP-0007,2026-08-24,P,,
EMP-0007,2026-08-25,P,,
EMP-0007,2026-08-26,P,,
EMP-0007,2026-08-27,P,,
EMP-0007,2026-08-28,A,,
EMP-0007,2026-08-29,P,,
EMP-0007,2026-08-30,off,,
EMP-0007,2026-08-31,P,,
EMP-0007,2026-09-01,L,,EL
EMP-0008,2026-08-03,P,,
EMP-0008,2026-08-04,P,,
EMP-0008,2026-08-05,P,,
EMP-0008,2026-08-06,L,,SL
EMP-0008,2026-08-07,P,,
EMP-0008,2026-08-08,P,,
EMP-0008,2026-08-09,off,,
EMP-0008,2026-08-10,P,,
EMP-0008,2026-08-11,P,,
EMP-0008,2026-08-12,L,,CL
EMP-0008,2026-08-13,P,,
EMP-0008,2026-08-14,T,TRP-2121,
EMP-0008,2026-08-14,T,TRP-2251,
EMP-0008,2026-08-15,P,,
EMP-0008,2026-08-16,off,,
EMP-0008,2026-08-17,L,,CL
EMP-0008,2026-08-18,L,,CL
EMP-0008,2026-08-19,T,TRP-2302,
EMP-0008,2026-08-20,T,TRP-2281,
EMP-0008,2026-08-21,L,,SL
EMP-0008,2026-08-22,A,,
EMP-0008,2026-08-23,off,,
EMP-0008,2026-08-24,T,TRP-2361,
EMP-0008,2026-08-25,P,,
EMP-0008,2026-08-26,P,,
EMP-0008,2026-08-27,L,,EL
EMP-0008,2026-08-28,P,,
EMP-0008,2026-08-29,P,,
EMP-0008,2026-08-30,off,,
EMP-0008,2026-08-31,A,,
EMP-0008,2026-09-01,P,,
EMP-0009,2026-08-03,P,,
EMP-0009,2026-08-04,A,,
EMP-0009,2026-08-05,T,TRP-2299,
EMP-0009,2026-08-06,P,,
EMP-0009,2026-08-07,P,,
EMP-0009,2026-08-08,A,,
EMP-0009,2026-08-09,off,,
EMP-0009,2026-08-10,A,,
EMP-0009,2026-08-11,P,,
EMP-0009,2026-08-12,P,,
EMP-0009,2026-08-13,T,TRP-2214,
EMP-0009,2026-08-14,A,,
EMP-0009,2026-08-15,P,,
EMP-0009,2026-08-16,off,,
EMP-0009,2026-08-17,T,TRP-2229,
EMP-0009,2026-08-18,P,,
EMP-0009,2026-08-19,P,,
EMP-0009,2026-08-20,P,,
EMP-0009,2026-08-21,T,TRP-2104,
EMP-0009,2026-08-22,T,TRP-2279,
EMP-0009,2026-08-23,T,TRP-2381,
EMP-0009,2026-08-24,P,,
EMP-0009,2026-08-25,P,,
EMP-0009,2026-08-26,P,,
EMP-0009,2026-08-27,P,,
EMP-0009,2026-08-28,P,,
EMP-0009,2026-08-29,L,,CL
EMP-0009,2026-08-30,off,,
EMP-0009,2026-08-31,P,,
EMP-0009,2026-09-01,P,,
EMP-0010,2026-08-03,A,,
EMP-0010,2026-08-04,P,,
EMP-0010,2026-08-05,P,,
EMP-0010,2026-08-06,P,,
EMP-0010,2026-08-07,A,,
EMP-0010,2026-08-08,P,,
EMP-0010,2026-08-09,off,,
EMP-0010,2026-08-10,P,,
EMP-0010,2026-08-11,T,TRP-2408,
EMP-0010,2026-08-12,P,,
EMP-0010,2026-08-13,P,,
EMP-0010,2026-08-14,P,,
EMP-0010,2026-08-15,P,,
EMP-0010,2026-08-16,off,,
EMP-0010,2026-08-17,P,,
EMP-0010,2026-08-18,P,,
EMP-0010,2026-08-19,L,,SL
EMP-0010,2026-08-20,P,,
EMP-0010,2026-08-21,P,,
EMP-0010,2026-08-22,P,,
EMP-0010,2026-08-23,off,,
EMP-0010,2026-08-24,T,TRP-2367,
EMP-0010,2026-08-25,T,TRP-2231,
EMP-0010,2026-08-26,T,TRP-2312,
EMP-0010,2026-08-27,P,,
EMP-0010,2026-08-28,T,TRP-2352,
EMP-0010,2026-08-29,P,,
EMP-0010,2026-08-30,T,TRP-2328,
EMP-0010,2026-08-31,A,,
EMP-0010,2026-09-01,P,,
EMP-0011,2026-08-03,P,,
EMP-0011,2026-08-04,L,,SL
EMP-0011,2026-08-05,P,,
EMP-0011,2026-08-06,P,,
EMP-0011,2026-08-07,P,,
EMP-0011,2026-08-08,P,,
EMP-0011,2026-08-09,off,,
EMP-0011,2026-08-10,P,,
EMP-0011,2026-08-11,L,,CL
EMP-0011,2026-08-12,P,,
EMP-0011,2026-08-13,P,,
EMP-0011,2026-08-14,T,TRP-2360,
EMP-0011,2026-08-15,L,,EL
EMP-0011,2026-08-16,off,,
EMP-0011,2026-08-17,P,,
EMP-0011,2026-08-18,T,TRP-2409,
EMP-0011,2026-08-19,P,,
EMP-0011,2026-08-20,T,TRP-2143,
EMP-0011,2026-08-21,L,,CL
EMP-0011,2026-08-22,P,,
EMP-0011,2026-08-23,off,,
EMP-0011,2026-08-24,P,,
EMP-0011,2026-08-25,P,,
EMP-0011,2026-08-26,P,,
EMP-0011,2026-08-27,A,,
EMP-0011,2026-08-28,P,,
EMP-0011,2026-08-29,P,,
EMP-0011,2026-08-30,off,,
EMP-0011,2026-08-31,P,,
EMP-0011,2026-09-01,P,,
EMP-0012,2026-08-03,A,,
EMP-0012,2026-08-04,P,,
EMP-0012,2026-08-05,A,,
EMP-0012,2026-08-06,A,,
EMP-0012,2026-08-07,P,,
EMP-0012,2026-08-08,P,,
EMP-0012,2026-08-09,off,,
EMP-0012,2026-08-10,A,,
EMP-0012,2026-08-11,P,,
EMP-0012,2026-08-12,P,,
EMP-0012,2026-08-13,P,,
EMP-0012,2026-08-14,P,,
EMP-0012,2026-08-15,A,,
EMP-0012,2026-08-16,off,,
EMP-0012,2026-08-17,L,,SL
EMP-0012,2026-08-18,P,,
EMP-0012,2026-08-19,P,,
EMP-0012,2026-08-20,P,,
EMP-0012,2026-08-21,P,,
EMP-0012,2026-08-22,P,,
EMP-0012,2026-08-23,off,,
EMP-0012,2026-08-24,P,,
EMP-0012,2026-08-25,A,,
EMP-0012,2026-08-26,P,,
EMP-0012,2026-08-27,P,,
EMP-0012,2026-08-28,P,,
EMP-0012,2026-08-29,P,,
EMP-0012,2026-08-30,off,,
EMP-0012,2026-08-31,P,,
EMP-0012,2026-09-01,P,,
EMP-0013,2026-08-03,P,,
EMP-0013,2026-08-04,P,,
EMP-0013,2026-08-05,P,,
EMP-0013,2026-08-06,P,,
EMP-0013,2026-08-07,L,,CL
EMP-0013,2026-08-08,L,,EL
EMP-0013,2026-08-09,off,,
EMP-0013,2026-08-10,P,,
EMP-0013,2026-08-11,P,,
EMP-0013,2026-08-12,L,,EL
EMP-0013,2026-08-13,P,,
EMP-0013,2026-08-14,A,,
EMP-0013,2026-08-15,P,,
EMP-0013,2026-08-16,off,,
EMP-0013,2026-08-17,P,,
EMP-0013,2026-08-18,T,TRP-2336,
EMP-0013,2026-08-19,P,,
EMP-0013,2026-08-20,P,,
EMP-0013,2026-08-21,P,,
EMP-0013,2026-08-22,P,,
EMP-0013,2026-08-23,off,,
EMP-0013,2026-08-24,A,,
EMP-0013,2026-08-25,P,,
EMP-0013,2026-08-26,P,,
EMP-0013,2026-08-27,P,,
EMP-0013,2026-08-28,P,,
EMP-0013,2026-08-29,P,,
EMP-0013,2026-08-30,off,,
EMP-0013,2026-08-31,P,,
EMP-0013,2026-09-01,P,,
EMP-0014,2026-08-03,P,,
EMP-0014,2026-08-04,A,,
EMP-0014,2026-08-05,T,TRP-2287,
EMP-0014,2026-08-06,P,,
EMP-0014,2026-08-07,T,TRP-2161,
EMP-0014,2026-08-08,T,TRP-2358,
EMP-0014,2026-08-09,off,,
EMP-0014,2026-08-10,P,,
EMP-0014,2026-08-11,P,,
EMP-0014,2026-08-12,P,,
EMP-0014,2026-08-13,A,,
EMP-0014,2026-08-14,P,,
EMP-0014,2026-08-15,P,,
EMP-0014,2026-08-16,off,,
EMP-0014,2026-08-17,P,,
EMP-0014,2026-08-18,T,TRP-2403,
EMP-0014,2026-08-19,P,,
EMP-0014,2026-08-20,P,,
EMP-0014,2026-08-21,T,TRP-2405,
EMP-0014,2026-08-22,P,,
EMP-0014,2026-08-23,off,,
EMP-0014,2026-08-24,P,,
EMP-0014,2026-08-25,P,,
EMP-0014,2026-08-26,T,TRP-2297,
EMP-0014,2026-08-27,T,TRP-2171,
EMP-0014,2026-08-27,T,TRP-2222,
EMP-0014,2026-08-28,P,,
EMP-0014,2026-08-29,A,,
EMP-0014,2026-08-30,off,,
EMP-0014,2026-08-31,P,,
EMP-0014,2026-09-01,P,,
EMP-0015,2026-08-03,T,TRP-2271,
EMP-0015,2026-08-04,P,,
EMP-0015,2026-08-05,P,,
EMP-0015,2026-08-06,P,,
EMP-0015,2026-08-07,P,,
EMP-0015,2026-08-08,T,TRP-2227,
EMP-0015,2026-08-09,off,,
EMP-0015,2026-08-10,P,,
EMP-0015,2026-08-11,T,TRP-2320,
EMP-0015,2026-08-12,P,,
EMP-0015,2026-08-13,T,TRP-2382,
EMP-0015,2026-08-14,P,,
EMP-0015,2026-08-15,P,,
EMP-0015,2026-08-16,off,,
EMP-0015,2026-08-17,T,TRP-2369,
EMP-0015,2026-08-18,T,TRP-2165,
EMP-0015,2026-08-19,T,TRP-2211,
EMP-0015,2026-08-20,T,TRP-2177,
EMP-0015,2026-08-21,A,,
EMP-0015,2026-08-22,P,,
EMP-0015,2026-08-23,off,,
EMP-0015,2026-08-24,P,,
EMP-0015,2026-08-25,P,,
EMP-0015,2026-08-26,T,TRP-2356,
EMP-0015,2026-08-27,T,TRP-2332,
EMP-0015,2026-08-28,T,TRP-2246,
EMP-0015,2026-08-29,P,,
EMP-0015,2026-08-30,off,,
EMP-0015,2026-08-31,P,,
EMP-0015,2026-09-01,P,,
EMP-0016,2026-08-03,P,,
EMP-0016,2026-08-04,P,,
EMP-0016,2026-08-05,P,,
EMP-0016,2026-08-06,P,,
EMP-0016,2026-08-07,P,,
EMP-0016,2026-08-08,P,,
EMP-0016,2026-08-09,off,,
EMP-0016,2026-08-10,P,,
EMP-0016,2026-08-11,P,,
EMP-0016,2026-08-12,P,,
EMP-0016,2026-08-13,P,,
EMP-0016,2026-08-14,L,,CL
EMP-0016,2026-08-15,P,,
EMP-0016,2026-08-16,T,TRP-2241,
EMP-0016,2026-08-17,P,,
EMP-0016,2026-08-18,P,,
EMP-0016,2026-08-19,P,,
EMP-0016,2026-08-20,P,,
EMP-0016,2026-08-21,P,,
EMP-0016,2026-08-22,P,,
EMP-0016,2026-08-23,off,,
EMP-0016,2026-08-24,P,,
EMP-0016,2026-08-25,T,TRP-2219,
EMP-0016,2026-08-25,T,TRP-2265,
EMP-0016,2026-08-26,P,,
EMP-0016,2026-08-27,P,,
EMP-0016,2026-08-28,P,,
EMP-0016,2026-08-29,P,,
EMP-0016,2026-08-30,off,,
EMP-0016,2026-08-31,P,,
EMP-0016,2026-09-01,L,,EL
EMP-0017,2026-08-03,P,,
EMP-0017,2026-08-04,P,,
EMP-0017,2026-08-05,P,,
EMP-0017,2026-08-06,P,,
EMP-0017,2026-08-07,L,,CL
EMP-0017,2026-08-08,P,,
EMP-0017,2026-08-09,off,,
EMP-0017,2026-08-10,L,,CL
EMP-0017,2026-08-11,A,,
EMP-0017,2026-08-12,P,,
EMP-0017,2026-08-13,P,,
EMP-0017,2026-08-14,T,TRP-2353,
EMP-0017,2026-08-15,A,,
EMP-0017,2026-08-16,T,TRP-2150,
EMP-0017,2026-08-17,P,,
EMP-0017,2026-08-18,P,,
EMP-0017,2026-08-19,P,,
EMP-0017,2026-08-20,P,,
EMP-0017,2026-08-21,P,,
EMP-0017,2026-08-22,L,,SL
EMP-0017,2026-08-23,off,,
EMP-0017,2026-08-24,P,,
EMP-0017,2026-08-25,P,,
EMP-0017,2026-08-26,T,TRP-2298,
EMP-0017,2026-08-27,P,,
EMP-0017,2026-08-28,T,TRP-2341,
EMP-0017,2026-08-29,P,,
EMP-0017,2026-08-30,off,,
EMP-0017,2026-08-31,A,,
EMP-0017,2026-09-01,P,,
EMP-0018,2026-08-03,P,,
EMP-0018,2026-08-04,L,,SL
EMP-0018,2026-08-05,P,,
EMP-0018,2026-08-06,P,,
EMP-0018,2026-08-07,T,TRP-2374,
EMP-0018,2026-08-08,A,,
EMP-0018,2026-08-09,off,,
EMP-0018,2026-08-10,P,,
EMP-0018,2026-08-11,P,,
EMP-0018,2026-08-12,P,,
EMP-0018,2026-08-13,L,,CL
EMP-0018,2026-08-14,P,,
EMP-0018,2026-08-15,P,,
EMP-0018,2026-08-16,T,TRP-2266,
EMP-0018,2026-08-17,P,,
EMP-0018,2026-08-18,P,,
EMP-0018,2026-08-19,P,,
EMP-0018,2026-08-20,P,,
EMP-0018,2026-08-21,P,,
EMP-0018,2026-08-22,T,TRP-2325,
EMP-0018,2026-08-23,off,,
EMP-0018,2026-08-24,P,,
EMP-0018,2026-08-25,P,,
EMP-0018,2026-08-26,P,,
EMP-0018,2026-08-27,P,,
EMP-0018,2026-08-28,P,,
EMP-0018,2026-08-29,L,,SL
EMP-0018,2026-08-30,off,,
EMP-0018,2026-08-31,L,,EL
EMP-0018,2026-09-01,P,,
EMP-0019,2026-08-03,L,,SL
EMP-0019,2026-08-04,P,,
EMP-0019,2026-08-05,P,,
EMP-0019,2026-08-06,P,,
EMP-0019,2026-08-07,P,,
EMP-0019,2026-08-08,T,TRP-2110,
EMP-0019,2026-08-09,off,,
EMP-0019,2026-08-10,P,,
EMP-0019,2026-08-11,P,,
EMP-0019,2026-08-12,P,,
EMP-0019,2026-08-13,P,,
EMP-0019,2026-08-14,P,,
EMP-0019,2026-08-15,L,,CL
EMP-0019,2026-08-16,off,,
EMP-0019,2026-08-17,P,,
EMP-0019,2026-08-18,P,,
EMP-0019,2026-08-19,T,TRP-2263,
EMP-0019,2026-08-20,P,,
EMP-0019,2026-08-21,P,,
EMP-0019,2026-08-22,T,TRP-2412,
EMP-0019,2026-08-23,off,,
EMP-0019,2026-08-24,P,,
EMP-0019,2026-08-25,P,,
EMP-0019,2026-08-26,P,,
EMP-0019,2026-08-27,T,TRP-2228,
EMP-0019,2026-08-28,P,,
EMP-0019,2026-08-29,T,TRP-2391,
EMP-0019,2026-08-30,off,,
EMP-0019,2026-08-31,P,,
EMP-0019,2026-09-01,L,,EL
EMP-0020,2026-08-03,A,,
EMP-0020,2026-08-04,P,,
EMP-0020,2026-08-05,P,,
EMP-0020,2026-08-06,P,,
EMP-0020,2026-08-07,P,,
EMP-0020,2026-08-08,P,,
EMP-0020,2026-08-09,off,,
EMP-0020,2026-08-10,P,,
EMP-0020,2026-08-11,P,,
EMP-0020,2026-08-12,T,TRP-2331,
EMP-0020,2026-08-13,P,,
EMP-0020,2026-08-14,P,,
EMP-0020,2026-08-15,T,TRP-2123,
EMP-0020,2026-08-16,off,,
EMP-0020,2026-08-17,P,,
EMP-0020,2026-08-18,P,,
EMP-0020,2026-08-19,P,,
EMP-0020,2026-08-20,P,,
EMP-0020,2026-08-21,L,,CL
EMP-0020,2026-08-22,P,,
EMP-0020,2026-08-23,off,,
EMP-0020,2026-08-24,P,,
EMP-0020,2026-08-25,P,,
EMP-0020,2026-08-26,A,,
EMP-0020,2026-08-27,T,TRP-2300,
EMP-0020,2026-08-28,T,TRP-2187,
EMP-0020,2026-08-29,P,,
EMP-0020,2026-08-30,T,TRP-2365,
EMP-0020,2026-08-31,P,,
EMP-0020,2026-09-01,P,,
EMP-0021,2026-08-03,P,,
EMP-0021,2026-08-04,A,,
EMP-0021,2026-08-05,P,,
EMP-0021,2026-08-06,P,,
EMP-0021,2026-08-07,L,,EL
EMP-0021,2026-08-08,L,,CL
EMP-0021,2026-08-09,off,,
EMP-0021,2026-08-10,T,TRP-2259,
EMP-0021,2026-08-10,T,TRP-2393,
EMP-0021,2026-08-11,A,,
EMP-0021,2026-08-12,L,,SL
EMP-0021,2026-08-13,P,,
EMP-0021,2026-08-14,A,,
EMP-0021,2026-08-15,T,TRP-2191,
EMP-0021,2026-08-16,T,TRP-2118,
EMP-0021,2026-08-17,P,,
EMP-0021,2026-08-18,T,TRP-2308,
EMP-0021,2026-08-19,A,,
EMP-0021,2026-08-20,P,,
EMP-0021,2026-08-21,T,TRP-2319,
EMP-0021,2026-08-22,P,,
EMP-0021,2026-08-23,off,,
EMP-0021,2026-08-24,P,,
EMP-0021,2026-08-25,P,,
EMP-0021,2026-08-26,P,,
EMP-0021,2026-08-27,P,,
EMP-0021,2026-08-28,A,,
EMP-0021,2026-08-29,T,TRP-2126,
EMP-0021,2026-08-30,off,,
EMP-0021,2026-08-31,L,,SL
EMP-0021,2026-09-01,A,,
EMP-0022,2026-08-03,P,,
EMP-0022,2026-08-04,P,,
EMP-0022,2026-08-05,T,TRP-2190,
EMP-0022,2026-08-06,T,TRP-2344,
EMP-0022,2026-08-07,P,,
EMP-0022,2026-08-08,T,TRP-2243,
EMP-0022,2026-08-09,off,,
EMP-0022,2026-08-10,T,TRP-2119,
EMP-0022,2026-08-11,P,,
EMP-0022,2026-08-12,P,,
EMP-0022,2026-08-13,T,TRP-2318,
EMP-0022,2026-08-14,T,TRP-2170,
EMP-0022,2026-08-15,P,,
EMP-0022,2026-08-16,T,TRP-2105,
EMP-0022,2026-08-17,L,,CL
EMP-0022,2026-08-18,P,,
EMP-0022,2026-08-19,P,,
EMP-0022,2026-08-20,T,TRP-2154,
EMP-0022,2026-08-21,P,,
EMP-0022,2026-08-22,P,,
EMP-0022,2026-08-23,T,TRP-2178,
EMP-0022,2026-08-24,P,,
EMP-0022,2026-08-25,P,,
EMP-0022,2026-08-26,P,,
EMP-0022,2026-08-27,T,TRP-2112,
EMP-0022,2026-08-28,T,TRP-2399,
EMP-0022,2026-08-29,P,,
EMP-0022,2026-08-30,off,,
EMP-0022,2026-08-31,P,,
EMP-0022,2026-09-01,L,,CL
EMP-0023,2026-08-03,T,TRP-2285,
EMP-0023,2026-08-04,P,,
EMP-0023,2026-08-05,T,TRP-2268,
EMP-0023,2026-08-06,P,,
EMP-0023,2026-08-07,T,TRP-2347,
EMP-0023,2026-08-08,P,,
EMP-0023,2026-08-09,T,TRP-2131,
EMP-0023,2026-08-10,P,,
EMP-0023,2026-08-11,P,,
EMP-0023,2026-08-12,P,,
EMP-0023,2026-08-13,P,,
EMP-0023,2026-08-14,T,TRP-2378,
EMP-0023,2026-08-15,P,,
EMP-0023,2026-08-16,off,,
EMP-0023,2026-08-17,P,,
EMP-0023,2026-08-18,L,,SL
EMP-0023,2026-08-19,A,,
EMP-0023,2026-08-20,P,,
EMP-0023,2026-08-21,P,,
EMP-0023,2026-08-22,A,,
EMP-0023,2026-08-23,T,TRP-2224,
EMP-0023,2026-08-24,P,,
EMP-0023,2026-08-25,L,,SL
EMP-0023,2026-08-26,T,TRP-2295,
EMP-0023,2026-08-27,P,,
EMP-0023,2026-08-28,P,,
EMP-0023,2026-08-29,P,,
EMP-0023,2026-08-30,T,TRP-2152,
EMP-0023,2026-08-31,P,,
EMP-0023,2026-09-01,P,,
EMP-0024,2026-08-03,P,,
EMP-0024,2026-08-04,P,,
EMP-0024,2026-08-05,P,,
EMP-0024,2026-08-06,P,,
EMP-0024,2026-08-07,T,TRP-2233,
EMP-0024,2026-08-07,T,TRP-2410,
EMP-0024,2026-08-08,P,,
EMP-0024,2026-08-09,off,,
EMP-0024,2026-08-10,P,,
EMP-0024,2026-08-11,P,,
EMP-0024,2026-08-12,P,,
EMP-0024,2026-08-13,P,,
EMP-0024,2026-08-14,P,,
EMP-0024,2026-08-15,P,,
EMP-0024,2026-08-16,off,,
EMP-0024,2026-08-17,P,,
EMP-0024,2026-08-18,L,,EL
EMP-0024,2026-08-19,T,TRP-2323,
EMP-0024,2026-08-20,P,,
EMP-0024,2026-08-21,P,,
EMP-0024,2026-08-22,P,,
EMP-0024,2026-08-23,off,,
EMP-0024,2026-08-24,A,,
EMP-0024,2026-08-25,P,,
EMP-0024,2026-08-26,A,,
EMP-0024,2026-08-27,P,,
EMP-0024,2026-08-28,P,,
EMP-0024,2026-08-29,P,,
EMP-0024,2026-08-30,off,,
EMP-0024,2026-08-31,P,,
EMP-0024,2026-09-01,P,,
EMP-0025,2026-08-03,P,,
EMP-0025,2026-08-04,T,TRP-2116,
EMP-0025,2026-08-05,L,,EL
