pincode,locality,city,state,lat,lon,offices,accuracy
110035,Keshav Puram (North West Delhi),Delhi,Delhi,28.6772,77.1573,7,4
110036,Alipur,Delhi,Delhi,28.8127,77.1616,10,4
110037,Gurgaon Road,Delhi,Delhi,28.548,77.1133,5,4
110038,A F Rajokari,Delhi,Delhi,28.5724,77.0274,2,1
110039,Auchandi,Delhi,Delhi,28.805,77.0309,12,4
110040,Bankner,Delhi,Delhi,28.8458,77.0934,8,4
110041,Bakkarwala,Delhi,Delhi,28.6735,77.014,11,4
110042,Badli (North West Delhi),Delhi,Delhi,28.7581,77.1309,6,4
110043,Arjun Park,Delhi,Delhi,28.6032,76.9672,17,4
110044,Badarpur (South Delhi),Delhi,Delhi,28.5027,77.3084,10,4
110045,Dabri,Delhi,Delhi,28.6067,77.088,6,4
110046,Nangal Raya,Delhi,Delhi,28.6007,77.1087,2,4
110047,Arjungarh,Delhi,Delhi,28.5724,77.0274,4,1
110048,Greater Kailash,Delhi,Delhi,28.5614,77.2384,3,4
110049,New Delhi South Ext-II,Delhi,Delhi,28.5014,77.2274,6,1
110050,Safdarjung Sorting Delivery Office,Delhi,Delhi,28.5014,77.2274,1,1
110051,Azad Nagar (East Delhi),Delhi,Delhi,28.6292,77.298,4,1
110052,Shastri Nagar (North West Delhi),Delhi,Delhi,28.7688,77.0869,5,1
110053,Jafrabad (East Delhi),Delhi,Delhi,28.6292,77.298,9,4
110054,Civil Lines (North Delhi),Delhi,Delhi,28.6921,77.2245,6,4
110055,A.K.Market,Delhi,Delhi,28.6417,77.2132,4,4
110056,New Multan Nagar,Delhi,Delhi,28.7688,77.0869,2,1
110057,Vasant Vihar-1,Delhi,Delhi,28.5724,77.0274,2,1
110058,Jail Road (West Delhi),Delhi,Delhi,28.6553,77.0657,5,1
110059,D. K. Mohan Garden,Delhi,Delhi,28.6553,77.0657,7,1
110060,Rajender Nagar,Delhi,Delhi,28.6431,77.2197,1,1
110061,Bijwasan,Delhi,Delhi,28.5346,77.0536,2,4
110062,Dr. Ambedkar Nagar (South Delhi),Delhi,Delhi,28.508,77.2294,11,4
110063,Jawala Heri,Delhi,Delhi,28.6553,77.0657,5,1
110064,Hari Nagar (West Delhi),Delhi,Delhi,28.6553,77.0657,5,1
110065,Nehru Nagar (South Delhi),Delhi,Delhi,28.5619,77.2553,5,4
110066,R K Puram (Main),Delhi,Delhi,28.5724,77.0274,2,1
110067,J.N.U.,Delhi,Delhi,28.5553,77.1743,3,4
110068,Ignou,Delhi,Delhi,28.5724,77.0274,2,4
110069,Union Public Service Commission,Delhi,Delhi,28.6431,77.2197,1,1
110070,Masood Pur,Delhi,Delhi,28.5439,77.1523,3,4
110071,Badusarai,Delhi,Delhi,28.5458,77.0784,5,1
110072,CRPF Jharoda Kalan,Delhi,Delhi,28.6526,76.9521,2,4
110073,Dhansa,Delhi,Delhi,28.5563,76.8963,11,4
110074,C.S.K.M. School,Delhi,Delhi,28.5724,77.0274,8,4
110075,Amberhai,Delhi,Delhi,28.5458,77.0784,3,1
110076,Ali,Delhi,Delhi,28.525,77.3062,3,4
110077,Bagdola,Delhi,Delhi,28.5458,77.0784,5,1
110078,"Distt. Court Complex,Dwarka",Delhi,Delhi,28.6317,77.0425,4,4
110080,Sangam Vihar,Delhi,Delhi,28.5014,77.2274,1,1
110081,Chand Pur,Delhi,Delhi,28.7299,76.9929,11,4
110082,Holambi Kalan,Delhi,Delhi,28.7801,77.1022,4,4
110083,Mangolpuri A Block,Delhi,Delhi,28.7441,77.0732,4,1
110084,Burari,Delhi,Delhi,28.7486,77.2096,5,4
110085,Avantika,Delhi,Delhi,28.7201,77.1027,9,4
110086,Begumpur,Delhi,Delhi,28.7441,77.0732,9,1
110087,Jwala Puri,Delhi,Delhi,28.6553,77.0657,3,1
110088,Shalimar Bagh (North West Delhi),Delhi,Delhi,28.7219,77.159,3,4
110089,Rohini Sector 15,Delhi,Delhi,28.7441,77.0732,1,1
110090,Badarpur Khadar,Delhi,Delhi,28.6114,77.2982,7,1
110091,Chilla,Delhi,Delhi,28.6063,77.3045,7,4
110092,Laxmi Nagar (East Delhi),Delhi,Delhi,28.6266,77.2794,8,4
110093,Harsh Vihar,Delhi,Delhi,28.6114,77.2982,6,1
110094,Gokal Puri,Delhi,Delhi,28.6114,77.2982,3,1
110095,Dilshad Garden,Delhi,Delhi,28.6114,77.2982,8,1
110096,Ghazipur,Delhi,Delhi,28.6114,77.2982,3,1
110097,Kapashera.,Delhi,Delhi,28.5724,77.0274,1,1
110098,AMPC Delivery,Delhi,Delhi,28.6109,77.214,1,1
110100,Foreign Post Delhi IBC,Delhi,Delhi,28.6431,77.2197,1,1
121001,Factory Area Faridabad,Faridabad,Haryana,28.3327,77.3548,8,1
121002,Faridabad City,Faridabad,Haryana,28.4172,77.393,6,4
121003,Amarnagar (Faridabad),Faridabad,Haryana,28.4651,77.3329,5,4
121004,Faridabad Sector 3,Faridabad,Haryana,28.3327,77.3548,23,4
121005,Faridabad Sector 22,Faridabad,Haryana,28.3327,77.3548,2,1
121006,Faridabad Sector 7,Faridabad,Haryana,28.3327,77.3548,4,1
121007,Escortsnagar Faridabad,Faridabad,Haryana,28.3327,77.3548,3,1
121008,Faridabad Sector 29,Faridabad,Haryana,28.3327,77.3548,1,1
121009,Surajkund Faridabad,Faridabad,Haryana,28.3327,77.3548,1,1
121010,Nhpc Colony Faridabad,Faridabad,Haryana,28.3327,77.3548,2,1
121012,Sector-21D,Faridabad,Haryana,28.3327,77.3548,1,1
121013,Sec-91,Faridabad,Haryana,28.3327,77.3548,1,1
121014,Greater Faridabad,Faridabad,Haryana,28.3327,77.3548,1,1
121015,Sector 55,Faridabad,Haryana,28.3327,77.3548,1,1
121101,Alipur,Faridabad,Haryana,28.3327,77.3548,9,4
121102,Aharwan,Faridabad,Haryana,28.3327,77.3548,24,4
121103,Chhainsa,Faridabad,Haryana,28.3327,77.3548,12,4
121105,Aurangabad (Faridabad),Faridabad,Haryana,28.3327,77.3548,10,4
121106,Ali Meo,Faridabad,Haryana,28.3327,77.3548,10,4
121107,Banswa,Faridabad,Haryana,28.3327,77.3548,7,4
122001,Gurgaon H.O,Gurgaon,Haryana,28.418,76.9839,11,1
122002,DLF QE,Gurgaon,Haryana,28.418,76.9839,1,1
122003,Gurgaon Sector 45,Gurgaon,Haryana,28.418,76.9839,5,1
122004,Khandsa,Gurgaon,Haryana,28.4077,76.9842,6,4
122005,Air Force,Gurgaon,Haryana,28.418,76.9839,1,1
122006,Gurgaon Village,Gurgaon,Haryana,28.4592,76.985,4,4
122007,Industrial Estate (Gurgaon),Gurgaon,Haryana,28.418,76.9839,1,1
122008,DLF Ph-II,Gurgaon,Haryana,28.418,76.9839,1,1
122009,Galleria DLF-IV,Gurgaon,Haryana,28.418,76.9839,1,1
122010,DLF Ph-III,Gurgaon,Haryana,28.4001,76.9661,1,1
122011,Gurgaon Sector 56,Gurgaon,Haryana,28.4001,76.9661,1,1
122012,Vatika India Sector 82 Gurgaon,Gurgaon,Haryana,28.4001,76.9661,1,1
122015,Palam Road,Gurgaon,Haryana,28.4001,76.9661,1,1
122016,Industrial Complex Dundahera,Gurgaon,Haryana,28.4001,76.9661,1,1
122017,Palam Vihar (Gurgaon),Gurgaon,Haryana,28.4001,76.9661,2,1
122018,Gurgaon South City II,Gurgaon,Haryana,28.4001,76.9661,1,1
122051,Kasan,Gurgaon,Haryana,28.3553,76.9215,3,4
122052,IMT Manesar,Gurgaon,Haryana,28.3553,76.9215,1,1
122098,CRPF Kadarpur,Gurgaon,Haryana,28.4001,76.9661,1,1
122101,Badshahpur,Gurgaon,Haryana,28.3681,76.9408,5,4
122102,Bhondsi,Gurgaon,Haryana,28.3681,76.9408,7,4
122103,Bhirauti,Gurgaon,Haryana,28.3681,76.9408,12,4
122104,Agon,Gurgaon,Haryana,28.3681,76.9408,6,4
122105,Baghanki,Gurgaon,Haryana,28.3681,76.9408,11,4
122107,Akhera,Gurgaon,Haryana,28.3681,76.9408,10,4
122108,Nagina (Gurgaon),Gurgaon,Haryana,28.3681,76.9408,7,4
122413,Bhorakalan,Gurgaon,Haryana,28.3681,76.9408,7,4
122414,Inchhapuri,Gurgaon,Haryana,28.3398,76.8562,6,4
122502,Cheelarh,Gurgaon,Haryana,28.3681,76.9408,12,4
122503,Baslambi,Gurgaon,Haryana,28.3413,76.8058,7,4
122504,Gudhana,Gurgaon,Haryana,28.3598,76.7487,8,4
122505,Bhangrola,Gurgaon,Haryana,28.4655,76.9372,6,4
122506,Farrukh Nagar,Gurgaon,Haryana,28.4616,76.8708,5,4
122508,Baded,Gurgaon,Haryana,28.3681,76.9408,17,4
123001,Azamabad Mukhota,Mahendragarh,Haryana,28.0799,76.0612,28,4
123021,Bachhod,Mahendragarh,Haryana,28.1729,76.1432,18,4
123023,Akbarpur,Mahendragarh,Haryana,28.1729,76.1432,14,4
123024,Barda,Mahendragarh,Haryana,28.3955,75.9426,11,4
123027,Baghot,Mahendragarh,Haryana,28.1729,76.1432,17,4
123028,Bairawas,Mahendragarh,Haryana,28.1904,76.1312,6,4
123029,Akoda,Mahendragarh,Haryana,28.1729,76.1432,19,4
123031,CUH M.Garh,Mahendragarh,Haryana,28.1729,76.1432,1,1
123034,Bawania,Rewari,Haryana,28.2358,76.5433,8,4
123035,Asiaki Gorawas,Rewari,Haryana,28.359,76.6377,5,4
123101,Basbatori,Rewari,Haryana,28.1769,76.5079,7,4
123102,Ahrod,Rewari,Haryana,28.1673,76.4131,8,4
123103,Balwari,Rewari,Haryana,28.2229,76.4072,6,4
123106,Akera,Rewari,Haryana,28.1881,76.754,10,4
123110,Industrial Area Dharuhera,Rewari,Haryana,28.1937,76.5265,1,1
123301,Guriani,Rewari,Haryana,28.3708,76.5356,3,4
123302,Bhakli,Rewari,Haryana,28.3498,76.5026,14,4
123303,Bawwa,Mahendragarh,Haryana,28.1729,76.1432,11,4
123401,Gokal Bazar Rewari,Rewari,Haryana,28.3196,76.611,30,4
123411,Baldhan Kalan,Rewari,Haryana,28.2955,76.4283,14,4
123412,Badhrana,Rewari,Haryana,28.0911,76.4798,4,4
123501,Asalwas,Rewari,Haryana,28.1297,76.5558,13,4
124001,DLF Colony Rohtak,Rohtak,Haryana,28.8917,76.6118,14,4
124010,Baland,Rohtak,Haryana,28.8571,76.5513,8,4
124021,Asthal Bohar,Rohtak,Haryana,28.8631,76.6515,9,4
124022,Bahu Akbarpur,Rohtak,Haryana,28.8939,76.429,3,4
124102,Birdhana,Jhajjar,Haryana,28.6745,76.616,6,4
124103,Court Complex Jhajjar,Jhajjar,Haryana,28.6344,76.688,21,4
124104,Nehru College Jhajjar,Jhajjar,Haryana,28.6197,76.737,10,4
124105,Badli (Jhajjar),Jhajjar,Haryana,28.5542,76.8032,11,4
124106,Achhej,Jhajjar,Haryana,28.5606,76.4471,11,4
124107,Barhana,Jhajjar,Haryana,28.752,76.635,5,4
124108,Ahri,Jhajjar,Haryana,28.6048,76.6494,8,4
124109,Bhindawas,Jhajjar,Haryana,28.6048,76.5723,11,4
124111,Ajaib,Rohtak,Haryana,28.957,76.4015,5,4
124112,Behlba,Rohtak,Haryana,28.9145,76.5292,9,4
124113,Kalanaur (Rohtak),Rohtak,Haryana,28.9145,76.5292,5,4
124141,Power Plant Jharli,Rohtak,Haryana,28.9145,76.5292,1,1
124142,Bahu,Jhajjar,Haryana,28.4703,76.3459,5,4
124146,Akheri Madanpur,Jhajjar,Haryana,28.482,76.4931,8,4
124201,Baghpur,Jhajjar,Haryana,28.6048,76.6494,7,4
124202,Dubaldhan,Jhajjar,Haryana,28.6842,76.4581,4,4
124303,Basantpur,Rohtak,Haryana,29.0038,76.6257,9,4
124401,Baliana,Rohtak,Haryana,28.9324,76.6991,10,4
124404,Hassangarh,Rohtak,Haryana,28.8379,76.6494,3,4
124406,Assan,Rohtak,Haryana,28.9046,76.8039,5,4
124411,Anwal,Rohtak,Haryana,28.8308,76.4667,5,4
124412,Chimni,Rohtak,Haryana,28.7756,76.5208,6,4
124501,Atail,Rohtak,Haryana,28.8388,76.6494,17,4
124504,Charra,Jhajjar,Haryana,28.7918,76.8258,3,1
124505,Assaudha,Jhajjar,Haryana,28.7554,76.904,8,4
124506,Mandothi,Jhajjar,Haryana,28.691,76.8561,2,4
124507,Bahadurgarh H.O,Jhajjar,Haryana,28.7918,76.8258,5,1
124508,Bahadurgarh Mandi,Jhajjar,Haryana,28.6328,76.7875,12,4
124513,Nindana,Rohtak,Haryana,28.9642,76.4989,1,1
124514,Bainsi,Rohtak,Haryana,28.9869,76.4989,14,4
125001,Gju Hisar,Hisar,Haryana,29.0755,75.7562,10,1
125004,Ebs Hisar,Hisar,Haryana,29.1328,75.6576,17,4
125005,Iacbp Hisar,Hisar,Haryana,29.0365,75.8321,20,4
125006,Hisar Cantt,Hisar,Haryana,29.0543,75.7998,4,4
125007,Azad Nagar Hisar,Hisar,Haryana,29.0251,75.6081,8,4
125011,B.S.F Hisar,Hisar,Haryana,29.3034,75.7113,4,1
125033,Anaj Mandi Hansi,Hisar,Haryana,29.0961,75.9696,29,4
125037,Kanwari,Hisar,Haryana,28.9775,75.8718,3,4
125038,Bhaklana,Hisar,Haryana,29.2139,75.9986,6,4
125039,Bhaini Amirpur,Hisar,Haryana,29.2603,76.1143,18,4
125042,Badala,Hisar,Haryana,29.0736,76.1583,11,4
125044,Bhagana,Hisar,Haryana,29.2151,75.8156,6,4
125047,Agroha,Hisar,Haryana,29.3446,75.6739,13,4
125048,Badopal,Fatehabad,Haryana,29.4155,75.5503,5,4
125049,Sisai (Hisar),Hisar,Haryana,29.1747,76.0454,6,4
125050,Fatehabad (Fatehabad),Fatehabad,Haryana,29.4899,75.448,25,4
125051,Aharwan,Fatehabad,Haryana,29.5927,75.5162,35,4
125052,Asrawan,Hisar,Haryana,29.2523,75.5061,23,4
125053,Ban Mandori,Fatehabad,Haryana,29.3462,75.3221,14,4
125054,Bahaudin,Sirsa,Haryana,29.5202,75.28,4,4
125055,Begu Road Sirsa,Sirsa,Haryana,29.6148,74.9015,30,4
125056,JCD Vidyapeeth Sirsa,Sirsa,Haryana,29.6148,74.9015,1,1
125058,Ding,Sirsa,Haryana,29.4681,75.2602,2,4
125060,Baidwala,Sirsa,Haryana,29.6148,74.9015,11,4
125075,Bahya,Sirsa,Haryana,29.6148,74.9015,14,4
125076,Dohtar,Sirsa,Haryana,29.5245,74.8369,6,4
125077,Buraj Bhangu,Sirsa,Haryana,29.7831,74.8784,9,4
125078,Alika,Sirsa,Haryana,29.6148,74.9015,12,4
125101,Asa Khera,Sirsa,Haryana,29.7941,74.5536,3,4
125102,Amritsar Kalan,Sirsa,Haryana,29.3814,75.0372,10,4
125103,Banwala,Sirsa,Haryana,29.8091,74.7261,12,4
125104,Abubshahar,Sirsa,Haryana,29.9038,74.6887,16,4
125106,Akanwali,Fatehabad,Haryana,29.6785,75.6916,13,4
125110,Chadiwal,Sirsa,Haryana,29.3608,75.1205,15,4
125111,Baijalpur,Fatehabad,Haryana,29.5453,75.6274,12,4
125112,Balak,Hisar,Haryana,29.2151,75.8156,8,4
125113,Bithmara,Hisar,Haryana,29.509,75.8891,14,4
125120,Amani,Fatehabad,Haryana,29.6583,75.8678,17,4
125121,Barwala (Hisar),Hisar,Haryana,29.3746,75.8333,23,4
125133,Jakhal Mandi,Fatehabad,Haryana,29.6789,75.4207,8,4
125201,Chakrian,Sirsa,Haryana,29.7687,74.9015,17,4
126101,Budda Khera Lather,Jind,Haryana,29.3073,76.3966,13,4
126102,Jind H.O,Jind,Haryana,29.3166,76.293,26,4
126110,Baniya Khera,Jind,Haryana,29.4001,76.4473,6,4
126111,Alewa,Jind,Haryana,29.4354,76.434,6,4
126112,Anchra Kalan,Jind,Haryana,29.3046,76.622,23,4
126113,Assan,Jind,Haryana,29.277,76.4508,13,4
126114,Baroli,Jind,Haryana,29.2238,76.3689,9,4
126115,Baroda,Jind,Haryana,29.4422,76.1858,16,4
126116,Amargarh,Jind,Haryana,29.6479,76.0988,31,4
126125,Badhana,Jind,Haryana,29.4453,76.3009,12,4
126152,Badanpur,Jind,Haryana,29.5026,76.0363,8,4
127021,Bhiwani H.O,Bhiwani,Haryana,28.6418,75.9763,8,1
127022,Chang Road,Bhiwani,Haryana,28.4948,76.2706,5,4
127025,Aun,Bhiwani,Haryana,28.7792,76.3416,3,4
127026,Atela Khurd,Bhiwani,Haryana,28.5902,76.1265,10,4
127027,Chang,Bhiwani,Haryana,28.8839,76.2535,3,4
127028,Behl,Bhiwani,Haryana,28.6816,75.6207,10,4
127029,Chandawas,Bhiwani,Haryana,28.6956,75.9885,9,4
127030,Asalwas Marheta,Bhiwani,Haryana,29.0425,76.1726,9,4
127031,Badesera,Bhiwani,Haryana,28.8768,76.1385,8,4
127032,Baliali,Bhiwani,Haryana,28.9684,76.0639,9,4
127035,Jamalpur (Bhiwani),Bhiwani,Haryana,28.9625,75.9572,6,4
127040,Chappar Rangran,Bhiwani,Haryana,28.8716,75.8278,13,4
127041,Bhaini Kungar,Bhiwani,Haryana,28.9886,76.1204,6,4
127042,Sanwar (Bhiwani),Bhiwani,Haryana,28.7114,76.2917,5,4
127043,Bhariwas,Bhiwani,Haryana,28.7363,75.755,9,4
127045,Barwa,Bhiwani,Haryana,28.9638,75.6054,1,4
127046,Bidhwan,Bhiwani,Haryana,28.8679,75.601,13,4
127111,Bajina,Bhiwani,Haryana,28.8076,76.0341,7,4
127114,Bamla,Bhiwani,Haryana,28.818,76.2743,3,4
127201,Bardu Chaina,Bhiwani,Haryana,28.5644,75.7849,20,4
127306,Charkhi,Bhiwani,Haryana,28.606,76.3017,16,4
127307,Achina,Bhiwani,Haryana,28.6402,76.3867,7,4
127308,Arya Nagar,Bhiwani,Haryana,28.4885,75.9717,10,4
127309,Ajitpura,Bhiwani,Haryana,28.8105,76.1831,8,4
127310,Aun,Bhiwani,Haryana,28.5039,76.0992,10,4
127311,Dhana Ladan Pur,Bhiwani,Haryana,28.702,76.122,8,4
127312,Badrai,Bhiwani,Haryana,28.4907,76.0275,10,4
131001,Gohana Road (Sonipat),Sonipat,Haryana,28.9871,76.9937,26,4
131021,Bahalgarh,Sonipat,Haryana,29.1124,76.7276,5,4
131022,Bhatgaon (Sonipat),Sonipat,Haryana,28.9972,76.9011,3,4
131023,Aterna,Sonipat,Haryana,28.9078,77.1571,5,4
131024,Bohla,Sonipat,Haryana,29.0833,76.8791,6,4
131027,Asadpur Nandnaur,Sonipat,Haryana,29.0617,76.8795,4,4
131028,Industrial Estate Kundli,Sonipat,Haryana,28.8674,77.1445,4,4
131029,Jatheri,Sonipat,Haryana,29.0617,76.9148,5,4
131030,TDI City Kundli,Sonipat,Haryana,29.098,77.0684,1,1
131039,Bhagan,Sonipat,Haryana,29.098,77.0684,6,4
131101,Ahulana(Gannur),Sonipat,Haryana,29.1364,77.0297,16,4
131102,Bajanakhurd,Sonipat,Haryana,29.1578,76.8968,6,4
131103,Akabarpur Barota,Sonipat,Haryana,28.8795,77.0185,7,4
131301,Ahulana(Gohana),Sonipat,Haryana,29.091,76.7386,28,4
131302,Bhawar,Sonipat,Haryana,29.2024,76.5766,9,4
131304,Banwasa,Sonipat,Haryana,29.1256,76.5636,5,4
131305,Ganewari,Sonipat,Haryana,29.1398,76.8139,5,4
131306,Busana,Sonipat,Haryana,29.1973,76.7651,7,4
131402,Barona,Sonipat,Haryana,28.8775,76.9123,14,4
131403,Rohat (Sonipat),Sonipat,Haryana,29.0617,76.8795,5,4
131408,Farmana,Sonipat,Haryana,29.0228,76.7942,6,4
131409,Anwali,Sonipat,Haryana,29.0247,76.7686,5,4
132001,Karnal GBS,Karnal,Haryana,29.6875,76.8847,19,4
132022,Khirajpur,Karnal,Haryana,29.7169,77.0947,3,4
132023,Bara Gaon,Karnal,Haryana,29.7355,77.0093,5,4
132024,Achhanpur,Karnal,Haryana,29.6966,76.7901,13,4
132036,Bansa,Karnal,Haryana,29.6205,76.8627,10,4
132037,Madhuban (Karnal),Karnal,Haryana,29.6247,77.0141,16,4
132039,Ardhana,Karnal,Haryana,29.5708,76.6115,15,4
132040,Bal Rangan,Karnal,Haryana,29.5187,76.8496,3,4
132041,Bibi Pur Jattan,Karnal,Haryana,29.842,77.0298,15,4
132046,A.K.G.V.Mormajra,Karnal,Haryana,29.5181,76.7243,6,4
132054,Biana,Karnal,Haryana,29.6875,76.8847,7,4
132101,Beholi,Panipat,Haryana,29.2561,77.0088,10,4
132102,Bhodwal Majri,Panipat,Haryana,29.1967,77.0158,4,4
132103,Panipat City,Panipat,Haryana,29.3882,76.9586,9,4
132104,Panipat Kathery (U),Panipat,Haryana,29.4317,77.0114,18,4
132105,Panipat Thermal Project,Panipat,Haryana,29.3636,76.8598,9,4
132106,Panipat NFL,Panipat,Haryana,29.3326,76.9263,3,4
132107,Ahar,Panipat,Haryana,29.2834,76.8047,13,4
132108,Panipat Beas Project,Panipat,Haryana,29.3139,76.9717,5,4
132113,Adyana,Panipat,Haryana,29.3326,76.9263,10,4
132114,Arainpura,Karnal,Haryana,29.5713,76.8847,19,4
132115,Hathwala,Panipat,Haryana,29.2269,77.1181,2,4
132116,Bhaini Khrud,Karnal,Haryana,29.7789,76.9168,16,4
132117,Arjheri,Karnal,Haryana,29.8888,76.9616,10,4
132122,Atta,Panipat,Haryana,29.282,76.9985,4,4
132140,Panipat Refinary,Panipat,Haryana,29.4567,76.9347,7,4
132145,Dahar,Panipat,Haryana,29.3105,76.9263,4,4
132157,Aibla,Karnal,Haryana,29.8152,76.7147,9,4
133001,Ambala G.P.O.,Ambala,Haryana,30.2901,76.8908,12,1
133004,Bara,Ambala,Haryana,30.2729,76.8706,10,4
133005,Babyal,Ambala,Haryana,30.2901,76.8908,4,1
133006,Ind-estate,Ambala,Haryana,30.2901,76.8908,1,1
133008,Majri,Ambala,Haryana,30.3935,77.0121,1,4
133010,Defence Colony,Ambala,Haryana,30.3285,76.9422,1,4
133101,Bihta (Ambala),Ambala,Haryana,30.2757,76.9551,2,4
133102,Chudiala,Ambala,Haryana,30.2396,76.8943,7,4
133103,Mustafabad (Yamuna Nagar),Yamuna Nagar,Haryana,30.2769,77.1363,11,4
133104,Kalpi,Ambala,Haryana,30.3196,76.969,8,4
133201,Barara,Ambala,Haryana,30.2215,77.0136,7,4
133202,Alipur Jahangir,Ambala,Haryana,30.2448,77.0981,5,4
133203,Dhanaura,Ambala,Haryana,30.2573,76.9239,5,4
133204,Haveli,Yamuna Nagar,Haryana,30.4204,77.2306,9,4
133205,Adhoya,Ambala,Haryana,30.3285,76.9422,8,4
133206,Azizpur,Yamuna Nagar,Haryana,30.2872,77.1801,10,4
133207,Mullana Engineering College,Ambala,Haryana,30.277,77.0726,1,1
133301,B.C.W. Suraj Pur,Panchkula,Haryana,30.8398,76.9406,1,1
133302,Kalka,Panchkula,Haryana,30.8398,76.9406,3,4
134003,Ambala  City Kucthery,Ambala,Haryana,30.2792,76.7113,10,1
134005,Jandli,Ambala,Haryana,30.3571,76.7964,1,4
134007,Baldev Nagar,Ambala,Haryana,30.3876,76.8069,8,4
134008,Baknaur,Ambala,Haryana,30.2371,76.6718,17,4
134101,H.M.T.Pinjore,Panchkula,Haryana,30.7987,76.9182,1,1
134102,Basolan,Panchkula,Haryana,30.7987,76.9182,6,4
134103,I.T.B.P.  Bhanu,Panchkula,Haryana,30.7987,76.9182,1,1
134104,C.R.P.F. Pinjore,Panchkula,Haryana,30.7987,76.9182,1,1
134105,Amravati Enclave,Panchkula,Haryana,30.7987,76.9182,1,1
134107,Chandi Mandir,Panchkula,Haryana,30.7987,76.9182,2,1
134108,G.K. Panchkula,Panchkula,Haryana,30.7987,76.9182,1,1
134109,Panchkula Sector 8,Panchkula,Haryana,30.7987,76.9182,4,1
134112,Panchkula Sector 12,Panchkula,Haryana,30.686,76.9776,2,1
134113,Industrial Estate  Panchkula,Panchkula,Haryana,30.686,76.9776,2,1
134114,Mansa  Devi Sec-5,Panchkula,Haryana,30.686,76.9776,1,1
134116,Sector-26 Panchkula,Panchkula,Haryana,30.686,76.9776,1,1
134117,Sector 20 Panchkula,Panchkula,Haryana,30.686,76.9776,1,1
134118,Barwala (Panchkula),Panchkula,Haryana,30.6026,76.9594,10,4
134201,Bharog,Ambala,Haryana,30.4459,76.9474,8,4
134202,Banaundi,Ambala,Haryana,30.4468,77.0479,7,4
134203,Akbarpur,Ambala,Haryana,30.4129,77.0814,15,4
134204,Garhi Kotaha,Ambala,Haryana,30.3285,76.9422,7,4
134205,Bhojkoti,Panchkula,Haryana,30.686,76.9776,5,4
135001,Model Town (Yamuna Nagar),Yamuna Nagar,Haryana,30.0075,77.2266,7,4
135002,Aurangabad,Yamuna Nagar,Haryana,30.1093,77.2136,5,4
135003,Balchhapar,Yamuna Nagar,Haryana,30.1888,77.2857,15,4
135004,Thermal Colony Yamuna Nagar,Yamuna Nagar,Haryana,30.0939,77.3216,7,4
135021,Bakarwala,Yamuna Nagar,Haryana,30.274,77.4561,4,4
135101,Amadalpur,Yamuna Nagar,Haryana,30.2184,77.2126,8,4
