city,state,pincode,lat,lon,pincodes
Patan,Gujarat,384110,23.7708,71.7676,20
Porbandar,Gujarat,360545,21.61,69.7448,11
Rajkot,Gujarat,360001,22.02,70.7455,52
Sabarkantha,Gujarat,383001,23.8073,73.0353,46
Surat,Gujarat,394101,21.2623,73.0694,94
Surendra Nagar,Gujarat,363001,22.772,71.592,30
Tapi,Gujarat,394652,21.1903,73.6341,1
The Dangs,Gujarat,394710,20.713,73.7248,4
Vadodara,Gujarat,390001,22.2454,73.2327,78
Valsad,Gujarat,396001,20.4179,73.1217,34
Ambala,Haryana,133001,30.2901,76.9422,22
Bhiwani,Haryana,127021,28.7363,76.0992,27
Faridabad,Haryana,121001,28.3327,77.3548,20
Fatehabad,Haryana,125048,29.569,75.5332,8
Gurgaon,Haryana,122001,28.4001,76.9534,34
Hisar,Haryana,125001,29.1943,75.8238,18
Jhajjar,Haryana,124102,28.6328,76.6494,17
Jind,Haryana,126101,29.4001,76.3689,11
Kaithal,Haryana,136020,29.7869,76.4837,11
Karnal,Haryana,132001,29.6875,76.8847,15
Kurukshetra,Haryana,136030,30.0655,76.7752,12
Mahendragarh,Haryana,123001,28.1729,76.1432,9
Panchkula,Haryana,133301,30.7987,76.9406,17
Panipat,Haryana,132101,29.3139,76.9586,13
Rewari,Haryana,123034,28.2229,76.5265,13
Rohtak,Haryana,124001,28.9046,76.5292,17
Sirsa,Haryana,125054,29.6148,74.9015,15
Sonipat,Haryana,131001,29.0725,76.8882,22
Yamuna Nagar,Haryana,133103,30.2184,77.2266,13
Bilaspur (HP),Himachal Pradesh,174001,31.339,76.8222,26
Chamba,Himachal Pradesh,176207,32.585,76.3507,25
Hamirpur(HP),Himachal Pradesh,174304,31.6928,76.6292,48
Kangra,Himachal Pradesh,176001,32.054,76.3177,101
Kinnaur,Himachal Pradesh,172103,31.5868,78.2974,13
Kullu,Himachal Pradesh,172002,31.9045,77.4002,24
Lahul & Spiti,Himachal Pradesh,172113,32.4805,77.3731,8
Mandi,Himachal Pradesh,175001,31.6144,76.9886,51
Shimla,Himachal Pradesh,171001,31.1725,77.4276,58
Sirmaur,Himachal Pradesh,173001,30.6676,77.431,15
Solan,Himachal Pradesh,171102,30.9856,76.993,30
Una,Himachal Pradesh,174301,31.5807,76.2101,35
Ananthnag,Jammu & Kashmir,191103,33.8152,75.3575,20
Bandipur,Jammu & Kashmir,193505,34.4383,74.5575,1
Baramulla,Jammu & Kashmir,193101,34.1663,74.4718,18
Budgam,Jammu & Kashmir,190005,33.89,74.663,11
Doda,Jammu & Kashmir,182143,33.1008,75.6497,14
Jammu,Jammu & Kashmir,180001,32.7625,74.7884,43
Kathua,Jammu & Kashmir,184101,32.5663,75.581,18
Kupwara,Jammu & Kashmir,193221,34.5319,74.2661,6
Poonch,Jammu & Kashmir,185101,33.714,74.2604,4
Pulwama,Jammu & Kashmir,192123,33.933,75.0373,7
Rajauri,Jammu & Kashmir,185131,33.3145,74.3894,14
Reasi,Jammu & Kashmir,182320,33.2074,74.8223,1
Samba,Jammu & Kashmir,181141,32.5556,74.9277,1
Srinagar,Jammu & Kashmir,190001,34.14,74.8417,23
Udhampur,Jammu & Kashmir,182101,32.894,75.3276,18
Bokaro,Jharkhand,825102,23.6915,85.988,34
Chatra,Jharkhand,825103,24.2736,84.8451,8
Deoghar,Jharkhand,814112,24.328,86.7411,14
Dhanbad,Jharkhand,826001,23.8293,86.4719,55
Dumka,Jharkhand,814101,24.3197,87.2666,17
East Singhbhum,Jharkhand,831001,22.5826,86.4527,33
Garhwa,Jharkhand,822112,24.1541,83.6993,9
Giridh,Jharkhand,815301,24.2387,86.101,18
Godda,Jharkhand,813208,24.8596,87.3121,9
Gumla,Jharkhand,835203,23.1437,84.5347,11
Hazaribag,Jharkhand,825301,24.0215,85.423,14
Jamtara,Jharkhand,814166,23.9769,86.9172,6
Koderma,Jharkhand,825109,24.437,85.7315,9
Latehar,Jharkhand,822111,23.7588,84.4819,7
Lohardaga,Jharkhand,835213,23.4757,84.7127,3
Pakur,Jharkhand,814111,24.5442,87.656,5
Palamau,Jharkhand,822101,24.1662,84.1674,14
Ramgarh,Jharkhand,825101,23.6454,85.5606,28
Ranchi,Jharkhand,829205,23.3676,85.2923,37
Sahibganj,Jharkhand,816101,25.0081,87.6796,10
Seraikela-kharsawan,Jharkhand,831013,22.8449,85.9434,12
Simdega,Jharkhand,835201,22.5801,84.4642,7
West Singhbhum,Jharkhand,833102,22.4164,85.5795,18
Bagalkot,Karnataka,587101,16.1921,75.6791,37
Ballari,Karnataka,583101,15.1096,76.5334,49
Bangalore Rural,Karnataka,560060,13.2257,77.575,24
Belagavi,Karnataka,590001,15.9519,74.823,113
Bengaluru,Karnataka,560001,13.2257,77.575,108
Bidar,Karnataka,585226,17.9528,77.2265,26
Chamrajnagar,Karnataka,571109,11.9569,77.0998,20
Chikkaballapur,Karnataka,561206,13.5782,77.8362,10
Chikkamagaluru,Karnataka,577101,13.4543,75.6913,45
Chitradurga,Karnataka,577501,14.1634,76.4917,37
Dakshina Kannada,Karnataka,574109,12.8382,75.2651,93
Davangere,Karnataka,577001,14.408,75.9548,38
Dharwad,Karnataka,580001,15.3894,75.1538,39
Gadag,Karnataka,582101,15.4311,75.6663,25
Hassan,Karnataka,573101,12.9954,76.1091,49
Haveri,Karnataka,581101,14.7381,75.4177,31
Kalaburagi,Karnataka,585101,17.2554,76.8615,40
Kodagu,Karnataka,571201,12.3244,75.8099,24
Kolar,Karnataka,561210,13.1393,78.2177,40
Koppal,Karnataka,583226,15.5617,76.2219,23
Mandya,Karnataka,571401,12.6174,76.7954,44
Mysuru,Karnataka,570001,12.2852,76.5368,64
Raichur,Karnataka,584101,16.0895,76.8931,31
Ramanagar,Karnataka,561201,12.6785,77.3365,14
Shivamogga,Karnataka,577115,14.0245,75.2207,49
Tumakuru,Karnataka,561202,13.5055,76.9477,60
Udupi,Karnataka,574101,13.4452,74.8155,70
Uttara Kannada,Karnataka,581121,14.7128,74.6229,76
Vijayapura,Karnataka,586101,16.7453,76.0614,43
Yadgir,Karnataka,585201,16.6271,76.9118,21
Alappuzha,Kerala,686534,9.4236,76.4496,113
Ernakulam,Kerala,682001,10.0577,76.3705,141
Idukki,Kerala,685501,9.8822,77.0275,53
Kannur,Kerala,670001,11.9766,75.481,101
Kasargod,Kerala,671121,12.4811,75.0788,30
Kollam,Kerala,689695,8.961,76.7156,111
Kottayam,Kerala,686001,9.6,76.6509,121
Kozhikode,Kerala,673001,11.4848,75.8026,88
Malappuram,Kerala,673314,11.0267,76.0458,100
Palakkad,Kerala,678001,10.7922,76.5218,138
Pathanamthitta,Kerala,686511,9.2841,76.7873,103
Thiruvananthapuram,Kerala,695001,8.6085,76.9305,132
Thrissur,Kerala,679105,10.5089,76.2244,167
Wayanad,Kerala,670644,11.7112,76.0981,19
Kargil,Ladakh,194102,34.3669,75.5907,7
Leh,Ladakh,194101,34.3669,75.5907,7
Lakshadweep,Lakshadweep,682551,11.0915,72.7343,9
Alirajpur,Madhya Pradesh,457882,22.2882,74.5639,5
Anuppur,Madhya Pradesh,484113,23.0567,81.684,14
Ashok Nagar,Madhya Pradesh,473330,24.5596,77.9004,9
Balaghat,Madhya Pradesh,481001,21.8179,80.2585,20
Barwani,Madhya Pradesh,451447,21.8325,74.9938,8
Betul,Madhya Pradesh,460001,21.8998,77.9755,19
Bhind,Madhya Pradesh,477001,26.4211,78.7226,20
Bhopal,Madhya Pradesh,462001,23.478,77.3961,34
Burhanpur,Madhya Pradesh,450221,21.4008,76.3702,4
Chhatarpur,Madhya Pradesh,471001,24.7967,79.6661,20
Chhindwara,Madhya Pradesh,480001,22.0365,78.8414,25
Damoh,Madhya Pradesh,470661,23.8437,79.5636,12
Datia,Madhya Pradesh,475335,25.8505,78.5688,9
Dewas,Madhya Pradesh,455001,22.7152,76.4564,13
Dhar,Madhya Pradesh,454001,22.4974,75.1908,16
Dindori,Madhya Pradesh,481672,22.9293,80.8422,8
East Nimar,Madhya Pradesh,450001,21.9513,76.5028,15
Guna,Madhya Pradesh,473001,24.4199,77.2072,13
Gwalior,Madhya Pradesh,474001,26.0114,78.148,21
Harda,Madhya Pradesh,461228,22.4226,77.1731,1
Hoshangabad,Madhya Pradesh,461001,22.5883,77.9889,20
Indore,Madhya Pradesh,452001,22.7182,75.8422,30
Jabalpur,Madhya Pradesh,482001,23.2181,79.943,20
Jhabua,Madhya Pradesh,457661,22.8906,74.6718,8
Katni,Madhya Pradesh,483222,23.7542,80.3461,16
Mandla,Madhya Pradesh,481661,22.554,80.444,14
Mandsaur,Madhya Pradesh,458001,24.2113,75.4055,18
Morena,Madhya Pradesh,476001,26.4138,77.8688,11
Narsinghpur,Madhya Pradesh,487001,22.946,79.0148,14
Neemuch,Madhya Pradesh,458110,24.6056,75.1446,12
Panna,Madhya Pradesh,488001,24.4205,80.1893,12
Raisen,Madhya Pradesh,462046,23.217,78.1184,20
Rajgarh,Madhya Pradesh,465661,23.8551,76.7346,14
Ratlam,Madhya Pradesh,457001,23.501,75.0901,14
Rewa,Madhya Pradesh,486001,24.6765,81.526,30
Sagar,Madhya Pradesh,470001,23.8414,78.7383,28
Sainkheda,Madhya Pradesh,487661,22.9676,78.6419,1
Satna,Madhya Pradesh,485001,24.5064,80.8333,24
Sehore,Madhya Pradesh,466001,22.9781,77.1285,18
Seoni,Madhya Pradesh,480661,22.3135,79.6754,16
Shahdol,Madhya Pradesh,484001,23.7541,81.4399,10
Shajapur,Madhya Pradesh,465001,23.5797,76.3458,20
Sheopur,Madhya Pradesh,476332,25.7525,77.0104,5
Shivpuri,Madhya Pradesh,473551,25.2448,77.9349,17
Sidhi,Madhya Pradesh,486661,24.2198,81.8353,15
Singrauli,Madhya Pradesh,486885,24.2667,82.1937,3
Tikamgarh,Madhya Pradesh,472001,24.9883,78.9467,17
Ujjain,Madhya Pradesh,456001,23.3317,75.6743,22
Umaria,Madhya Pradesh,484551,23.5842,80.9563,6
Vidisha,Madhya Pradesh,464001,23.8927,77.8133,13
West Nimar,Madhya Pradesh,451001,22.065,75.9,15
Ahmed Nagar,Maharashtra,413201,19.2042,74.6779,88
Akola,Maharashtra,444001,20.7494,77.054,26
Amravati,Maharashtra,444601,21.1886,77.6157,41
Aurangabad,Maharashtra,423701,20.0291,75.2816,42
Beed,Maharashtra,413207,18.9478,75.8395,29
Bhandara,Maharashtra,441802,21.1178,79.7675,18
Buldhana,Maharashtra,443001,20.5117,76.409,31
Chandrapur,Maharashtra,441205,20.1305,79.4699,35
Dhule,Maharashtra,424001,21.0025,74.7073,26
Gadchiroli,Maharashtra,441208,19.7689,80.0682,15
Gondia,Maharashtra,441601,21.1667,80.2207,11
Hingoli,Maharashtra,431512,19.6453,77.106,7
Jalgaon,Maharashtra,424101,20.9386,75.5127,62
Jalna,Maharashtra,431114,19.6929,75.9866,19
Kolhapur,Maharashtra,415101,16.4704,74.1612,79
Latur,Maharashtra,413511,18.3748,76.7617,15
Mumbai,Maharashtra,400001,18.9808,72.8338,89
Nagpur,Maharashtra,440001,21.1555,79.0823,63
Nanded,Maharashtra,431601,19.048,77.5197,42
Nandurbar,Maharashtra,425409,21.5503,74.2439,19
Nashik,Maharashtra,422001,20.2597,74.1487,77
Osmanabad,Maharashtra,413405,18.1896,76.0397,33
Parbhani,Maharashtra,431401,19.2695,76.6969,17
Pune,Maharashtra,410301,18.5716,74.07,143
Raigarh(MH),Maharashtra,400702,18.8298,73.3257,61
Ratnagiri,Maharashtra,415202,17.2734,73.4573,73
Sangli,Maharashtra,415301,17.1109,74.7832,66
Satara,Maharashtra,412801,17.6661,74.1735,78
Sindhudurg,Maharashtra,416510,16.1323,73.7383,54
Solapur,Maharashtra,413001,17.792,75.4847,70
Thane,Maharashtra,400601,19.36,73.3279,90
Wardha,Maharashtra,442001,20.7424,78.5871,19
Washim,Maharashtra,444105,20.2162,77.2205,11
Yavatmal,Maharashtra,445001,20.065,78.141,34
Bishnupur,Manipur,795011,24.5352,93.8011,5
Chandel,Manipur,795102,24.3182,94.0932,3
Churachandpur,Manipur,795006,24.2584,93.4966,4
Imphal East,Manipur,795005,24.8166,93.9421,4
Imphal West,Manipur,795001,24.6816,93.1544,12
Senapati,Manipur,795007,25.1965,94.0421,10
Tamenglong,Manipur,795125,24.9458,93.5418,4
Thoubal,Manipur,795101,24.5532,93.9716,7
Ukhrul,Manipur,795142,25.1679,94.3266,3
East Garo Hills,Meghalaya,794107,25.6276,90.6032,4
East Khasi Hills,Meghalaya,793001,25.5641,91.8817,30
Jaintia Hills,Meghalaya,793109,25.4837,92.275,6
Ri Bhoi,Meghalaya,793101,25.87,91.8821,6
South Garo Hills,Meghalaya,794102,25.2918,90.5394,2
West Garo Hills,Meghalaya,794001,25.6292,90.2635,12
West Khasi Hills,Meghalaya,793114,25.5935,91.2608,5
Aizawl,Mizoram,796001,23.7665,92.7343,16
Champhai,Mizoram,796290,23.5234,93.2552,4
Kolasib,Mizoram,796081,24.198,92.7269,3
Lawngtlai,Mizoram,796891,22.4314,92.8049,1
Lunglei,Mizoram,796571,22.9342,92.7226,7
Mammit,Mizoram,796410,23.8103,92.4493,5
Saiha,Mizoram,796901,22.4521,93.0196,1
Serchhip,Mizoram,796181,23.2492,92.9925,4
Dimapur,Nagaland,797103,25.7785,93.7851,8
Kiphire,Nagaland,798611,25.8449,94.8251,1
Kohima,Nagaland,797001,25.662,94.1306,8
Longleng,Nagaland,798625,26.5121,94.8823,1
Mokokchung,Nagaland,798601,26.472,94.58,8
Mon,Nagaland,798602,26.7148,94.9513,4
Peren,Nagaland,797101,25.4996,93.6235,2
Phek,Nagaland,797104,25.6656,94.5255,4
Tuensang,Nagaland,798612,26.2199,94.7638,2
Wokha,Nagaland,797099,26.19,94.219,2
Zunhebotto,Nagaland,798620,26.0961,94.5102,2
Angul,Odisha,759037,20.9567,84.9798,30
Balangir,Odisha,767001,20.5905,83.1739,30
Baleswar,Odisha,756001,21.4898,86.917,51
Bargarh,Odisha,768027,21.2202,83.5018,25
Bhadrak,Odisha,756100,20.9859,86.6254,37
Boudh,Odisha,762013,20.6468,84.2768,11
Cuttack,Odisha,752120,20.4496,85.7057,59
Debagarh,Odisha,768108,21.4659,84.8037,5
Dhenkanal,Odisha,759001,20.8262,85.385,22
Gajapati,Odisha,761015,19.1734,84.1607,15
Ganjam,Odisha,760001,19.6269,84.6711,80
Jagatsinghapur,Odisha,754102,20.221800000000002,86.3437,28
Jajapur,Odisha,754023,20.8559,86.1522,39
Jharsuguda,Odisha,768201,21.8201,83.9547,16
Kalahandi,Odisha,766001,19.8957,83.1092,26
Kandhamal,Odisha,762001,20.1806,84.1392,22
Kendrapara,Odisha,754134,20.5531,86.6097,30
Kendujhar,Odisha,758001,21.5371,85.6152,43
Keonjhargarh,Odisha,758084,21.5371,85.7051,1
Khorda,Odisha,751001,20.09,85.5114,60
Koraput,Odisha,763001,18.8166,82.7213,31
Malkangiri,Odisha,764044,18.2581,81.9563,9
Mayurbhanj,Odisha,757001,21.8952,86.4112,66
Nabarangapur,Odisha,764049,19.35,82.6013,15
Nayagarh,Odisha,752024,20.2131,84.9994,23
Nuapada,Odisha,766104,20.3906,82.5924,7
Puri,Odisha,752001,19.8765,85.7209,28
Rayagada,Odisha,764062,19.3623,83.5138,18
Sambalpur,Odisha,768001,21.4712,84.1058,28
Sonapur,Odisha,767016,21.0612,83.9349,8
Sundergarh,Odisha,769001,22.0798,84.6737,59
Karaikal,Pondicherry,609601,10.9434,79.7572,8
Mahe,Pondicherry,673310,11.7017,75.6846,1
Pondicherry,Pondicherry,605001,11.8768,79.8107,19
Amritsar,Punjab,143001,31.6757,74.909,47
Barnala,Punjab,148100,30.4018,75.4602,9
Bathinda,Punjab,151001,30.2106,75.0832,19
Faridkot,Punjab,151202,30.5474,74.8446,9
Fatehgarh Sahib,Punjab,140405,30.6285,76.3534,8
Fazilka,Punjab,152020,30.3262,74.1889,1
Firozpur,Punjab,142041,30.9492,74.7637,26
Gurdaspur,Punjab,143505,31.9161,75.2937,36
Hoshiarpur,Punjab,144105,31.608,75.86,51
Jalandhar,Punjab,144001,31.2121,75.5684,66
Kapurthala,Punjab,144401,31.3531,75.4034,21
Ludhiana,Punjab,141001,30.8047,75.8361,72
Mansa,Punjab,151501,29.9082,75.4399,9
Moga,Punjab,142001,30.7625,75.1756,20
Mohali,Punjab,140109,30.6763,76.7411,15
Muktsar,Punjab,151210,30.247,74.5119,12
Nawanshahr,Punjab,144415,31.1104,76.0721,27
Patiala,Punjab,140401,30.3793,76.3516,27
Ropar,Punjab,140102,31.0624,76.4894,4
Rupnagar,Punjab,140001,31.0624,76.4894,18
Sangrur,Punjab,148001,30.2298,75.87,21
Tarn Taran,Punjab,143118,31.3469,75.0024,9
Ajmer,Rajasthan,305001,26.2827,74.7079,58
Alwar,Rajasthan,301001,27.5915,76.606,48
Banswara,Rajasthan,327001,23.4752,74.3639,18
Baran,Rajasthan,325202,24.9952,76.6524,16
Barmer,Rajasthan,344001,25.7356,71.4733,27
Bharatpur,Rajasthan,321001,27.2457,77.2788,33
Bhilwara,Rajasthan,311001,25.48,74.7254,33
Bikaner,Rajasthan,331801,28.0997,73.3983,27
Bundi,Rajasthan,323001,25.47,75.7775,18
Chittorgarh,Rajasthan,312001,24.8287,74.7797,44
Churu,Rajasthan,331001,28.3455,74.6986,25
Dausa,Rajasthan,303004,26.8561,76.5139,25
Dholpur,Rajasthan,328001,26.7358,77.6684,13
Dungarpur,Rajasthan,314001,23.7326,73.8551,26
Ganganagar,Rajasthan,335001,29.3955,73.5632,28
Hanumangarh,Rajasthan,335063,29.2416,74.549,16
Jaipur,Rajasthan,302001,26.9196,75.7711,81
Jaisalmer,Rajasthan,342310,27.0774,71.2419,13
Jalor,Rajasthan,307029,25.0978,72.2119,22
Jhalawar,Rajasthan,326001,24.3691,76.1968,19
Jhujhunu,Rajasthan,331025,28.0919,75.5524,48
Jodhpur,Rajasthan,342001,26.7092,72.9403,42
Karauli,Rajasthan,321610,26.5207,76.9639,21
Kota,Rajasthan,324001,25.0025,76.1128,26
Nagaur,Rajasthan,305026,27.064,74.1879,47
Pali,Rajasthan,306001,25.6107,73.5393,44
Rajsamand,Rajasthan,305921,25.2163,73.8923,22
Sawai Madhopur,Rajasthan,322001,26.2169,76.4679,23
Sikar,Rajasthan,331024,27.6366,75.2875,56
Sirohi,Rajasthan,307001,24.7589,72.7743,19
Tonk,Rajasthan,304001,26.1458,75.6719,17
Udaipur,Rajasthan,307025,24.4214,73.7064,37
East Sikkim,Sikkim,737101,27.2385,88.5884,11
North Sikkim,Sikkim,737116,27.5962,88.6,2
South Sikkim,Sikkim,737126,27.1688,88.3729,3
West Sikkim,Sikkim,737111,27.2635,88.2548,3
Ariyalur,Tamil Nadu,608901,11.1605,79.2442,25
Chennai,Tamil Nadu,600001,13.0647,80.2523,57
Coimbatore,Tamil Nadu,641001,10.8745,76.9756,137
Cuddalore,Tamil Nadu,606001,11.535,79.4824,60
Dharmapuri,Tamil Nadu,635201,12.0969,78.1636,27
Dindigul,Tamil Nadu,624001,10.3898,77.862,56
Erode,Tamil Nadu,638001,11.5152,77.4143,77
Kanchipuram,Tamil Nadu,600016,12.7183,79.9479,96
Kanyakumari,Tamil Nadu,629001,8.2683,77.3469,65
Karur,Tamil Nadu,621301,10.8474,78.1331,33
Krishnagiri,Tamil Nadu,635001,12.5758,78.0327,35
Madurai,Tamil Nadu,625001,9.921,78.0903,57
Nagapattinam,Tamil Nadu,609001,10.8706,79.7389,82
Namakkal,Tamil Nadu,636118,11.3163,78.1361,58
Nilgiris,Tamil Nadu,643001,11.4559,76.6694,46
Perambalur,Tamil Nadu,621101,11.2733,78.8408,22
Pudukkottai,Tamil Nadu,613301,10.3586,78.8375,49
Ramanathapuram,Tamil Nadu,623115,9.4401,78.6733,58
Salem,Tamil Nadu,636001,11.6741,78.2221,78
